case_id,old_row_index,baseline_id,baseline_length_m,lst_stratum,lst_bin_id,beam_model,morphology,flux_jy,multiplicity,N_null,Z_PS_max_old,Z_PS_max_new,PTE_global_max_old,PTE_global_max_new,PTE_global_absint_old,PTE_global_absint_new,relative_abs_bias,window_abs_bias_sum,window_bg_abs_sum,null_mad_win,n_null_exceed_max,n_null_exceed_absint,selection_mode,n_seed_cases_before_pair_expansion,intrinsic_phase_mode,intrinsic_phase_seed,intrinsic_phases_rad,retained_PTE001,retained_PTE005,retained_absint_001,retained_absint_003,retained_physical_floor_1e3,retained_physical_floor_1e2,retained_absint_floor_1e3,retained_absint_floor_1e2
11_10_lst016_quiet_frozen_polybeam_smooth_S1000_single,0,11_10,153.90399534464717,quiet,16,frozen_polybeam,smooth,1000.0,single,1000,-0.184046597273386,0.11297088063676956,0.6237623762376238,0.45354645354645357,0.2574257425742574,0.7272727272727273,0.0008534483341346563,3107.1746834725827,3640729.683564343,1.7180267488294305,453,727,absint,7,random_per_satellite,20260709,4.20376087,False,False,False,False,False,False,False,False
11_10_lst016_quiet_frozen_polybeam_smooth_S1000_multi,1,11_10,153.90399534464717,quiet,16,frozen_polybeam,smooth,1000.0,multi,1000,-0.512267436083411,-0.12626378432450838,0.7029702970297029,0.5484515484515484,0.0099009900990099,0.6733266733266733,0.0011168534094636172,4066.1613600242326,3640729.683564343,2.7821774090034523,548,673,absint,7,random_per_satellite,20260710,3.74713849;5.86257451,False,False,False,False,False,False,False,False
11_10_lst016_quiet_frozen_polybeam_lines_S1000_multi,2,11_10,153.90399534464717,quiet,16,frozen_polybeam,lines,1000.0,multi,1000,-0.5128524553946946,-1.0339735810638917,0.7524752475247525,0.8721278721278721,0.0198019801980198,0.5544455544455544,0.0011371658130251712,4140.113330615321,3640729.683564343,2.8455518663959083,872,554,absint,7,random_per_satellite,20260711,1.24845991;5.69178930,False,False,False,False,False,False,False,False
11_10_lst016_quiet_frozen_polybeam_khz_comb_S1000_multi,3,11_10,153.90399534464717,quiet,16,frozen_polybeam,khz_comb,1000.0,multi,1000,-0.6890217922308084,-0.6017993022354509,0.7920792079207921,0.7492507492507493,0.0099009900990099,0.6263736263736264,0.001017716448722075,3705.2304843141474,3640729.683564343,2.550275521198273,749,626,absint,7,random_per_satellite,20260712,4.35115842;3.03097617,False,False,False,False,False,False,False,False
11_10_lst016_quiet_full_polybeam_smooth_S1000_single,4,11_10,153.90399534464717,quiet,16,full_polybeam,smooth,1000.0,single,1000,-1.322952153647392,0.7756853815867539,0.8613861386138614,0.23976023976023977,0.0198019801980198,0.8601398601398601,0.0027919690480544077,10164.804588844563,3640729.683564343,3.269874835128576,239,860,absint,7,random_per_satellite,20260713,1.30000310,False,False,False,False,False,False,False,False
11_10_lst016_quiet_full_polybeam_smooth_S1000_multi,5,11_10,153.90399534464717,quiet,16,full_polybeam,smooth,1000.0,multi,1000,-0.9266788586459604,-0.5262644755213199,0.8811881188118812,0.7162837162837162,0.0297029702970297,0.04595404595404595,0.0031439360143256344,11446.221170582308,3640729.683564343,3.7699402662186685,716,45,absint,7,random_per_satellite,20260714,6.02045066;6.06834031,False,False,False,False,False,False,False,False
11_10_lst016_quiet_full_polybeam_lines_S1000_multi,6,11_10,153.90399534464717,quiet,16,full_polybeam,lines,1000.0,multi,1000,-0.6922114499540196,0.3984472440084389,0.801980198019802,0.35764235764235763,0.0396039603960396,0.8011988011988012,0.0029072262354308503,10584.424852170116,3640729.683564343,3.8301750318828454,357,801,absint,7,random_per_satellite,20260715,0.97437189;0.17161634,False,False,False,False,False,False,False,False
11_10_lst016_quiet_full_polybeam_khz_comb_S1000_multi,7,11_10,153.90399534464717,quiet,16,full_polybeam,khz_comb,1000.0,multi,1000,-0.3114578368971122,-1.2077206558447762,0.6138613861386139,0.9120879120879121,0.0198019801980198,0.4085914085914086,0.0025239881193135005,9189.158466948402,3640729.683564343,3.4548083232793942,912,408,absint,7,random_per_satellite,20260716,0.43725521;5.15618042,False,False,False,False,False,False,False,False
4_196_lst053_typical_frozen_polybeam_lines_S1000_multi,8,4_196,190.65540049004915,typical,53,frozen_polybeam,lines,1000.0,multi,1000,0.7663783463799917,1.5607120478775915,0.3366336633663366,0.08491508491508491,0.0297029702970297,0.2757242757242757,0.008018965166584098,32729.46728576522,4081507.6017729165,14.629910049527098,84,275,absint,7,random_per_satellite,20260717,2.75414672;1.06446904;2.74831512,False,False,False,False,False,False,False,False
4_196_lst053_typical_full_polybeam_lines_S1000_multi,9,4_196,190.65540049004915,typical,53,full_polybeam,lines,1000.0,multi,1000,0.0907694556660693,-1.6504098131235667,0.4653465346534653,0.9920079920079921,0.2574257425742574,0.44555444555444557,0.009479882397358487,38692.212068731926,4081507.6017729165,17.301231278300293,992,445,absint,7,random_per_satellite,20260718,5.23340260;5.82060323;3.21604554,False,False,False,False,False,False,False,False
