case_id,old_row_index,baseline_id,baseline_length_m,lst_stratum,lst_bin_id,beam_model,morphology,flux_jy,multiplicity,N_null,Z_PS_max_old,Z_PS_max_new,PTE_global_max_old,PTE_global_max_new,PTE_global_absint_old,PTE_global_absint_new,relative_abs_bias,window_abs_bias_sum,window_bg_abs_sum,null_mad_win,n_null_exceed_max,n_null_exceed_absint,selection_mode,n_seed_cases_before_pair_expansion,intrinsic_phase_mode,intrinsic_phase_seed,intrinsic_phases_rad,retained_PTE001,retained_PTE005,retained_absint_001,retained_absint_003,retained_physical_floor_1e3,retained_physical_floor_1e2,retained_absint_floor_1e3,retained_absint_floor_1e2
0_1_lst044_typical_frozen_polybeam_smooth_S1000_multi,0,0_1,14.60794900739243,typical,44,frozen_polybeam,smooth,1000.0,multi,1000,2.7963784418575246,3.151039810861044,0.0495049504950495,0.04095904095904096,0.0891089108910891,0.1028971028971029,0.09783335121945635,6179883.886646082,63167455.77674818,55434.642024598535,40,102,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_frozen_polybeam_lines_S1000_multi,1,0_1,14.60794900739243,typical,44,frozen_polybeam,lines,1000.0,multi,1000,3.3666035989684757,2.9063184435349587,0.0198019801980198,0.03596403596403597,0.0495049504950495,0.06893106893106893,0.09784814826125109,6180818.578129278,63167455.77674818,58079.03229914748,35,68,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_full_polybeam_smooth_S1000_multi,2,0_1,14.60794900739243,typical,44,full_polybeam,smooth,1000.0,multi,1000,3.339902220957026,3.8782786492258503,0.0198019801980198,0.013986013986013986,0.0198019801980198,0.01998001998001998,0.18727262943072714,11829535.537760807,63167455.77674818,72348.21544653719,13,19,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,True,False,False,False,False
0_1_lst044_typical_full_polybeam_lines_S1000_multi,3,0_1,14.60794900739243,typical,44,full_polybeam,lines,1000.0,multi,1000,3.7790244647379736,3.156308474506202,0.0396039603960396,0.026973026973026972,0.0198019801980198,0.022977022977022976,0.1872045693490289,11825236.355559971,63167455.77674818,88432.70066339307,26,22,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,True,False,False,False,False
0_1_lst000_stress_frozen_polybeam_smooth_S30_multi,4,0_1,14.60794900739243,stress,0,frozen_polybeam,smooth,30.0,multi,1000,0.7192937484115736,0.7223043639467507,0.2574257425742574,0.25274725274725274,0.0198019801980198,0.005994005994005994,0.0012080211867724231,1336827.8562389016,1106626167.551434,5688.405747673474,252,5,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,True,True,False,False,True,False
0_1_lst000_stress_frozen_polybeam_smooth_S300_multi,5,0_1,14.60794900739243,stress,0,frozen_polybeam,smooth,300.0,multi,1000,0.9411995543385462,0.7912429612057295,0.2376237623762376,0.22577422577422576,0.0099009900990099,0.005994005994005994,0.012390210541587848,13711331.206792738,1106626167.551434,52182.09197964519,225,5,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,True,True,False,False,True,True
0_1_lst000_stress_frozen_polybeam_smooth_S1000_multi,6,0_1,14.60794900739243,stress,0,frozen_polybeam,smooth,1000.0,multi,1000,0.8850688752790741,0.9669697868061212,0.2178217821782178,0.1878121878121878,0.0297029702970297,0.006993006993006993,0.04464864236531324,49409355.98710118,1106626167.551434,150805.04376735026,187,6,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,True,True,False,False,True,True
0_1_lst000_stress_frozen_polybeam_lines_S30_multi,7,0_1,14.60794900739243,stress,0,frozen_polybeam,lines,30.0,multi,1000,0.8051351288055082,0.8879736068420635,0.2673267326732673,0.23176823176823177,0.0099009900990099,0.01098901098901099,0.001207549814737732,1336306.2236106605,1106626167.551434,5397.363719074056,231,10,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,False,True,False,False,False,False
0_1_lst000_stress_frozen_polybeam_lines_S300_multi,8,0_1,14.60794900739243,stress,0,frozen_polybeam,lines,300.0,multi,1000,0.8832691023106372,0.8434577667483116,0.2574257425742574,0.22577422577422576,0.0099009900990099,0.005994005994005994,0.01238822809639825,13709137.381070193,1106626167.551434,51617.4739140477,225,5,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,True,True,False,False,True,True
0_1_lst000_stress_frozen_polybeam_lines_S1000_multi,9,0_1,14.60794900739243,stress,0,frozen_polybeam,lines,1000.0,multi,1000,0.6851401819830465,1.065369727455256,0.2574257425742574,0.18681318681318682,0.0099009900990099,0.003996003996003996,0.044642329393517886,49402369.887317434,1106626167.551434,140680.8417410571,186,3,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,True,True,False,False,True,True
0_1_lst000_stress_frozen_polybeam_khz_comb_S30_multi,10,0_1,14.60794900739243,stress,0,frozen_polybeam,khz_comb,30.0,multi,1000,0.8672795960617581,0.7628900649849547,0.2376237623762376,0.23276723276723277,0.0099009900990099,0.008991008991008992,0.0010700960951364746,1184196.3406726317,1106626167.551434,5177.880318257026,232,8,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,True,True,False,False,True,False
0_1_lst000_stress_frozen_polybeam_khz_comb_S300_multi,11,0_1,14.60794900739243,stress,0,frozen_polybeam,khz_comb,300.0,multi,1000,1.0108296130891004,0.9059493243173518,0.198019801980198,0.2057942057942058,0.0297029702970297,0.004995004995004995,0.010908146055241758,12071239.86420348,1106626167.551434,48818.27102519479,205,4,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,True,True,False,False,True,True
0_1_lst000_stress_frozen_polybeam_khz_comb_S1000_multi,12,0_1,14.60794900739243,stress,0,frozen_polybeam,khz_comb,1000.0,multi,1000,0.7857444329861093,0.9325254452566677,0.2475247524752475,0.1938061938061938,0.0198019801980198,0.007992007992007992,0.03858840948165268,42702943.69658673,1106626167.551434,144317.30556992814,193,7,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,True,True,False,False,True,True
0_1_lst000_stress_full_polybeam_smooth_S30_multi,13,0_1,14.60794900739243,stress,0,full_polybeam,smooth,30.0,multi,1000,0.0276938086480899,0.22186836705555726,0.504950495049505,0.4255744255744256,0.0198019801980198,0.01898101898101898,0.001309611275358022,1449250.1066315938,1106626167.551434,4751.033008843195,425,18,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,False,True,False,False,False,False
0_1_lst000_stress_full_polybeam_smooth_S300_multi,14,0_1,14.60794900739243,stress,0,full_polybeam,smooth,300.0,multi,1000,0.6111156942567225,0.5580973142915473,0.3168316831683168,0.3026973026973027,0.0198019801980198,0.015984015984015984,0.014110350034983657,15614882.582023207,1106626167.551434,33681.88377483515,302,15,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,False,True,False,False,False,False
0_1_lst000_stress_full_polybeam_smooth_S1000_multi,15,0_1,14.60794900739243,stress,0,full_polybeam,smooth,1000.0,multi,1000,0.639746968262241,0.6919888452046925,0.2574257425742574,0.26973026973026976,0.0891089108910891,0.053946053946053944,0.059728006651530614,66096575.09626988,1106626167.551434,70924.53992705513,269,53,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,False,False,False,False,False,False
0_1_lst000_stress_full_polybeam_lines_S30_multi,16,0_1,14.60794900739243,stress,0,full_polybeam,lines,30.0,multi,1000,0.2611397725828074,0.2773631833527227,0.4257425742574257,0.3926073926073926,0.0198019801980198,0.016983016983016984,0.0013088699096311647,1448429.6919185277,1106626167.551434,4448.123243723065,392,16,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,False,True,False,False,False,False
0_1_lst000_stress_full_polybeam_lines_S300_multi,17,0_1,14.60794900739243,stress,0,full_polybeam,lines,300.0,multi,1000,0.7384901481868402,0.4331381369500998,0.2772277227722772,0.34265734265734266,0.0396039603960396,0.01998001998001998,0.014110988549732403,15615589.179152537,1106626167.551434,40376.756602513604,342,19,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,False,True,False,False,False,False
0_1_lst000_stress_full_polybeam_lines_S1000_multi,18,0_1,14.60794900739243,stress,0,full_polybeam,lines,1000.0,multi,1000,0.8608962554388362,0.6983720367377596,0.1683168316831683,0.26973026973026976,0.0594059405940594,0.03396603396603397,0.05970558823023498,66071766.28462894,1106626167.551434,71380.5525556095,269,33,absint,126,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,False,False,False,False,False,False,False
