case_id,old_row_index,baseline_id,baseline_length_m,lst_stratum,lst_bin_id,beam_model,morphology,flux_jy,multiplicity,N_null,Z_PS_max_old,Z_PS_max_new,PTE_global_max_old,PTE_global_max_new,PTE_global_absint_old,PTE_global_absint_new,relative_abs_bias,window_abs_bias_sum,window_bg_abs_sum,null_mad_win,n_null_exceed_max,n_null_exceed_absint,selection_mode,n_seed_cases_before_pair_expansion,intrinsic_phase_mode,intrinsic_phase_seed,intrinsic_phases_rad,retained_PTE001,retained_PTE005,retained_absint_001,retained_absint_003,retained_physical_floor_1e3,retained_physical_floor_1e2,retained_absint_floor_1e3,retained_absint_floor_1e2
0_1_lst044_typical_frozen_polybeam_smooth_S10_multi,0,0_1,14.60794900739243,typical,44,frozen_polybeam,smooth,10.0,multi,1000,3.721338497964253,3.08318285894118,0.0693069306930693,0.027972027972027972,0.1584158415841584,0.12087912087912088,0.0007939512617513143,50151.88121556956,63167455.77674818,464.25841410504654,27,120,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_frozen_polybeam_smooth_S30_single,1,0_1,14.60794900739243,typical,44,frozen_polybeam,smooth,30.0,single,1000,1.0424194897971015,1.289644876607834,0.0099009900990099,0.006993006993006993,0.2277227722772277,0.3016983016983017,0.0009083062873350393,57375.397236978424,63167455.77674818,935.6744338063872,6,301,local,60,none,,0.00000000,True,True,False,False,False,False,False,False
0_1_lst044_typical_frozen_polybeam_smooth_S30_multi,2,0_1,14.60794900739243,typical,44,frozen_polybeam,smooth,30.0,multi,1000,3.1351623008512464,3.4146978357324724,0.0495049504950495,0.03596403596403597,0.1188118811881188,0.11788211788211789,0.002385233871249512,150669.1550793554,63167455.77674818,1285.848673620494,35,117,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_frozen_polybeam_smooth_S300_single,3,0_1,14.60794900739243,typical,44,frozen_polybeam,smooth,300.0,single,1000,1.204517417307051,1.1834802140513325,0.0297029702970297,0.003996003996003996,0.4554455445544554,0.3986013986013986,0.009120201515578689,576099.9259103485,63167455.77674818,10267.669538499962,3,398,local,60,none,,0.00000000,True,True,False,False,True,False,False,False
0_1_lst044_typical_frozen_polybeam_smooth_S300_multi,4,0_1,14.60794900739243,typical,44,frozen_polybeam,smooth,300.0,multi,1000,3.9816651767634608,3.5928682724707337,0.0693069306930693,0.025974025974025976,0.099009900990099,0.08391608391608392,0.024634976226648536,1556128.7713580641,63167455.77674818,13228.106934590789,25,83,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_frozen_polybeam_smooth_S1000_single,5,0_1,14.60794900739243,typical,44,frozen_polybeam,smooth,1000.0,single,1000,1.1148212532713233,1.2051001427771364,0.0099009900990099,0.003996003996003996,0.5148514851485149,0.4925074925074925,0.0312617424200368,1974724.731821767,63167455.77674818,36870.6874096158,3,492,local,60,none,,0.00000000,True,True,False,False,True,True,False,False
0_1_lst044_typical_frozen_polybeam_smooth_S1000_multi,6,0_1,14.60794900739243,typical,44,frozen_polybeam,smooth,1000.0,multi,1000,2.7963784418575246,3.151039810861044,0.0495049504950495,0.04095904095904096,0.0891089108910891,0.1028971028971029,0.09783335121945635,6179883.886646082,63167455.77674818,55434.642024598535,40,102,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_frozen_polybeam_lines_S10_multi,7,0_1,14.60794900739243,typical,44,frozen_polybeam,lines,10.0,multi,1000,3.576606865845553,3.4220302566726786,0.0495049504950495,0.024975024975024976,0.198019801980198,0.11688311688311688,0.0007941776319837634,50166.18044721696,63167455.77674818,427.86455463035963,24,116,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_frozen_polybeam_lines_S30_single,8,0_1,14.60794900739243,typical,44,frozen_polybeam,lines,30.0,single,1000,1.4331030220393377,1.2417133266489713,0.0099009900990099,0.007992007992007992,0.297029702970297,0.31868131868131866,0.0009084892879405979,57386.95691963716,63167455.77674818,956.2428582475986,7,318,local,60,none,,0.00000000,True,True,False,False,False,False,False,False
0_1_lst044_typical_frozen_polybeam_lines_S30_multi,9,0_1,14.60794900739243,typical,44,frozen_polybeam,lines,30.0,multi,1000,3.723294419951065,3.4594962218536307,0.0198019801980198,0.030969030969030968,0.0792079207920792,0.11488511488511488,0.002385986613283547,150716.7038785016,63167455.77674818,1276.4836519049131,30,114,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
