id,path,ant_pair,bl_len_m,Nt,Nf,flag_frac,jd_start,label,window_id,native_baseline_id
bg_01_clean__native_0_1,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_01_clean__native_0_1.npz,"(0,1)",14.61,60,219,0.089,2461041.584134,"clean/low-flag (flag=8.9%), LST seg A; native bl (0,1)",bg_01_clean,native_0_1
bg_03_heavy__native_0_1,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_03_heavy__native_0_1.npz,"(0,1)",14.61,60,219,0.147,2461041.750801,"heavily flagged end-of-obs (flag=14.7%), LST seg D; native bl (0,1)",bg_03_heavy,native_0_1
bg_04_proc_div__native_0_1,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_04_proc_div__native_0_1.npz,"(0,1)",14.61,60,219,0.123,2461041.500801,"early obs window (flag=12.3%), LST seg A-; native bl (0,1)",bg_04_proc_div,native_0_1
bg_05_lst_div__native_0_1,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_05_lst_div__native_0_1.npz,"(0,1)",14.61,60,219,0.092,2461041.834134,"late-middle obs (flag=9.2%), LST seg C; native bl (0,1)",bg_05_lst_div,native_0_1
bg_01_clean__native_0_197,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_01_clean__native_0_197.npz,"(0,197)",160.25,60,219,0.089,2461041.584134,"clean/low-flag (flag=8.9%), LST seg A; native bl (0,197)",bg_01_clean,native_0_197
bg_03_heavy__native_0_197,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_03_heavy__native_0_197.npz,"(0,197)",160.25,60,219,0.161,2461041.750801,"heavily flagged end-of-obs (flag=14.7%), LST seg D; native bl (0,197)",bg_03_heavy,native_0_197
bg_04_proc_div__native_0_197,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_04_proc_div__native_0_197.npz,"(0,197)",160.25,60,219,0.119,2461041.500801,"early obs window (flag=12.3%), LST seg A-; native bl (0,197)",bg_04_proc_div,native_0_197
bg_05_lst_div__native_0_197,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_05_lst_div__native_0_197.npz,"(0,197)",160.25,60,219,0.091,2461041.834134,"late-middle obs (flag=9.2%), LST seg C; native bl (0,197)",bg_05_lst_div,native_0_197
bg_01_clean__native_11_10,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_01_clean__native_11_10.npz,"(11,10)",153.9,60,219,0.089,2461041.584134,"clean/low-flag (flag=8.9%), LST seg A; native bl (11,10)",bg_01_clean,native_11_10
bg_03_heavy__native_11_10,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_03_heavy__native_11_10.npz,"(11,10)",153.9,60,219,0.161,2461041.750801,"heavily flagged end-of-obs (flag=14.7%), LST seg D; native bl (11,10)",bg_03_heavy,native_11_10
