term,coef,pvalue,stderr
Intercept,0.31732226022488397,0.012379191454670441,0.1266839319021926
C(beam_model)[T.full_polybeam],-0.011684826186967708,0.9311025700190039,0.13512313871248227
C(morphology)[T.lines],-0.061846808755944824,0.5591289562182451,0.10584863663600448
C(morphology)[T.smooth],-0.08680220574292852,0.41234067597324564,0.10584863663600473
C(flux_jy)[T.30.0],0.027798957395993765,0.7477694424281407,0.08642504990915906
C(flux_jy)[T.300.0],-0.004665917184216707,0.9569534631898977,0.08642504990915899
C(flux_jy)[T.1000.0],-0.03286203188486171,0.70383477981772,0.08642504990915896
C(multiplicity)[T.single],-0.7860933783877948,1.2705263404544852e-35,0.06111173885515222
C(baseline_class)[T.mid],0.1896344352558646,0.010538531204754491,0.07403086461835327
C(baseline_class)[T.short],0.5569175102985549,4.953659214731919e-07,0.11017075398750815
C(lst_stratum)[T.stress],0.34702556353226877,0.0012264016097504786,0.10710022277506133
C(lst_stratum)[T.typical],0.6876996142985408,5.321124663108032e-11,0.10386998297733588
C(beam_model)[T.full_polybeam]:C(morphology)[T.lines],-0.04593364797474589,0.7590069591731574,0.14969257748933948
C(beam_model)[T.full_polybeam]:C(morphology)[T.smooth],-0.003621019089683767,0.9807052082804832,0.14969257748933967
C(beam_model)[T.full_polybeam]:C(lst_stratum)[T.stress],-0.16325666415966045,0.2811532840742805,0.15141521851481124
C(beam_model)[T.full_polybeam]:C(lst_stratum)[T.typical],-0.011961673909898102,0.9351128505305841,0.14689433865001095
