baseline_id,baseline_class,lst_stratum,lst_bin_id,rows,max_Z_PS_max,median_Z_PS_max,min_PTE_global_max,max_relative_abs_bias,n_Zgt3,n_candidate_statistical,n_exploratory
0_1,short,quiet,17,48,1.221357666744324,0.24486576732856066,0.0396039603960396,0.0011639260820762,0,0,1
0_1,short,stress,0,48,1.0745112393129566,-0.47685801212091283,0.1386138613861386,0.0597280066515306,0,0,0
0_1,short,typical,44,48,4.543446845967243,2.4352006523021297,0.0099009900990099,0.1872726294307271,16,18,46
0_197,mid,quiet,22,48,0.9361380141934512,0.331928616239907,0.1782178217821782,0.0684527343197885,0,0,0
0_197,mid,stress,0,48,1.862909310991996,0.22750302021295424,0.0693069306930693,0.0311303820666177,0,0,0
0_197,mid,typical,36,48,0.4846709976359929,-0.46769259613077097,0.297029702970297,0.0423362943944135,0,0,0
11_10,mid,quiet,16,48,1.0026135029433336,0.2803079500011133,0.0495049504950495,0.0198443671997315,0,0,1
11_10,mid,stress,64,48,,,1.0,0.0,0,0,0
11_10,mid,typical,44,48,2.071907862734993,1.1410741557566562,0.0396039603960396,0.3120495613213603,0,0,2
157_146,mid,quiet,16,48,1.717323791106452,0.8980261602019639,0.0198019801980198,0.0072695454937275,0,0,16
157_146,mid,stress,0,48,1.3740039651755578,0.31675125265194337,0.1881188118811881,0.0203322421917372,0,0,0
157_146,mid,typical,46,48,3.394778297442202,-0.18586905437261247,0.0099009900990099,1.4806477755775278,1,1,16
159_76,mid,quiet,22,48,0.9110106512141068,0.05075053271587515,0.1881188118811881,0.0392137279745278,0,0,0
159_76,mid,stress,0,48,2.055730572697556,-0.3459577198913238,0.0198019801980198,0.0817305180512721,0,0,4
159_76,mid,typical,44,48,2.6929191303235958,1.047329920336784,0.0198019801980198,0.0591636071490964,0,0,10
23_80,long,quiet,48,48,1.2440247723242166,-0.09801201342055935,0.198019801980198,0.0307126968902105,0,0,0
23_80,long,stress,0,48,2.202245823726521,0.9619939253018284,0.0099009900990099,0.0346865550374558,0,1,18
23_80,long,typical,44,48,1.60997205480279,-0.6049111430116224,0.0792079207920792,0.2063280511056938,0,0,0
4_196,long,quiet,48,48,1.2816307737031796,-0.2913034917926973,0.1386138613861386,0.0201533873575581,0,0,0
4_196,long,stress,0,48,1.4641056252653353,0.6925072118048472,0.0198019801980198,0.0876073758946395,0,0,3
4_196,long,typical,53,48,1.6920654630008634,0.4140500903273628,0.0297029702970297,3.6429008513319503,0,0,3
4_76,mid,quiet,17,48,2.2570144649526367,0.6570928006857357,0.0297029702970297,0.0222735476397981,0,0,3
4_76,mid,stress,0,48,1.1347611004672364,-0.4837788604476948,0.1287128712871287,2.0609710146136164,0,0,0
4_76,mid,typical,33,48,1.7396756948958592,0.38358327421196664,0.1782178217821782,0.0542015579344526,0,0,0
82_0,mid,quiet,17,48,-0.3113726159795554,-1.3182378449083905,0.6138613861386139,0.0108753539129922,0,0,0
82_0,mid,stress,64,48,5.200895132965017,0.9357021585207248,0.0099009900990099,0.0767456724160756,10,6,22
82_0,mid,typical,18,48,3.4902527711455886,1.2520490627335856,0.0099009900990099,0.0268187098964265,5,4,16
