factor,level,rows,median_Z_PS_max,p95_Z_PS_max,min_PTE_global_max,median_relative_abs_bias,n_Zgt3,n_candidate_statistical
beam_model,frozen_polybeam,648,0.3372764260770065,2.7105626096724618,0.0099009900990099,0.00159390383427385,23,21
beam_model,full_polybeam,648,0.5124966225336656,2.0707550495492004,0.0099009900990099,0.0018854657814258002,9,9
morphology,khz_comb,432,0.47293832392015467,2.5335459280386403,0.0099009900990099,0.0016852467423378,12,13
morphology,lines,432,0.36870512022829893,2.182393713700841,0.0099009900990099,0.00180115019130845,10,10
morphology,smooth,432,0.3729446990107672,2.4330559301498673,0.0099009900990099,0.0018017634034571501,10,7
flux_jy,10.0,324,0.39359742247964313,2.3674461648649325,0.0099009900990099,0.00018030345341830002,7,9
flux_jy,30.0,324,0.4447792300737417,2.7014916818493004,0.0099009900990099,0.0005418381646311,8,8
flux_jy,300.0,324,0.40155276366317383,2.483004000250172,0.0099009900990099,0.005596067321839451,7,6
flux_jy,1000.0,324,0.35969473227153365,2.0519298516260895,0.0099009900990099,0.01984047345941985,10,7
multiplicity,multi,648,0.6142321359040395,2.8216494660486187,0.0099009900990099,0.0032784671845067998,22,6
multiplicity,single,648,0.0267258376515098,1.5176142908314556,0.0099009900990099,0.0010171391430708501,10,24
baseline_class,long,288,0.37344563903360006,1.5034821860854375,0.0099009900990099,0.0035320468765936497,0,1
baseline_class,mid,864,0.36561173702012756,2.408947669686161,0.0099009900990099,0.0016852467423378,16,11
baseline_class,short,144,0.7457562748709161,3.550724406681765,0.0099009900990099,0.0009323460841197,16,18
lst_stratum,quiet,432,0.14535267767155835,1.2706081666067128,0.0198019801980198,0.0005418334938927,0,0
lst_stratum,stress,432,0.4954596155982689,1.8919620913942194,0.0099009900990099,0.0015658173041208502,10,7
lst_stratum,typical,432,0.616192454404308,3.01088132605032,0.0099009900990099,0.0048140448030524,22,23
