paired_case_id,phase_seed,morphology,flux_jy,multiplicity,baseline_id,lst_bin_id,pte_absint_frozen,pte_absint_full,brel_frozen,brel_full,strict_integrated_frozen,strict_integrated_full,integrated_physical_1e3_frozen,integrated_physical_1e3_full,beam_robust_integrated_1e3,frozen_only_integrated_1e3,full_only_integrated_1e3,delta_beam_logpte
11_10_lst016_quiet_khz_comb_S1000_multi,2026071300,khz_comb,1000.0,multi,11_10,16,0.5304695304695305,0.6783216783216783,0.0010279941899845534,0.0024395476518124337,False,False,False,False,False,False,False,0.10677525319903262
11_10_lst016_quiet_khz_comb_S1000_multi,2026071301,khz_comb,1000.0,multi,11_10,16,0.22377622377622378,0.25674325674325676,0.0010788944654406623,0.00255581715235031,False,False,False,False,False,False,False,0.05968510499713174
11_10_lst016_quiet_khz_comb_S1000_multi,2026071302,khz_comb,1000.0,multi,11_10,16,0.8621378621378621,0.4255744255744256,0.00098130869026873,0.0025114494833368677,False,False,False,False,False,False,False,-0.30660119661249063
11_10_lst016_quiet_khz_comb_S1000_multi,2026071303,khz_comb,1000.0,multi,11_10,16,0.7952047952047953,0.1018981018981019,0.0009927336816294738,0.002591621420319474,False,False,False,False,False,False,False,-0.8923128959757515
11_10_lst016_quiet_khz_comb_S1000_multi,2026071304,khz_comb,1000.0,multi,11_10,16,0.6203796203796204,0.951048951048951,0.0010131928608778198,0.002382419128755359,False,False,False,False,False,False,False,0.1855453482078942
11_10_lst016_quiet_lines_S1000_multi,2026071300,lines,1000.0,multi,11_10,16,0.5154845154845155,0.6663336663336663,0.0011403308779945067,0.002928481188567289,False,False,False,False,False,False,False,0.11147613228933764
11_10_lst016_quiet_lines_S1000_multi,2026071301,lines,1000.0,multi,11_10,16,0.21578421578421578,0.2807192807192807,0.0012053637814638052,0.0030634369157405412,False,False,False,False,False,False,False,0.11425256875414896
11_10_lst016_quiet_lines_S1000_multi,2026071302,lines,1000.0,multi,11_10,16,0.8131868131868132,0.4255744255744256,0.0010917007758479145,0.0030178785725749873,False,False,False,False,False,False,False,-0.2812148057864823
11_10_lst016_quiet_lines_S1000_multi,2026071303,lines,1000.0,multi,11_10,16,0.8371628371628371,0.08091908091908091,0.0010851139155586506,0.0031209976993246363,False,False,False,False,False,False,False,-1.0147589997516269
11_10_lst016_quiet_lines_S1000_multi,2026071304,lines,1000.0,multi,11_10,16,0.6403596403596403,0.961038961038961,0.0011196303246510575,0.002866925601324464,False,False,False,False,False,False,False,0.17631704251899552
11_10_lst016_quiet_smooth_S1000_multi,2026071300,smooth,1000.0,multi,11_10,16,0.5194805194805194,0.6613386613386614,0.0011404192923336225,0.002932328442082565,False,False,False,False,False,False,False,0.10485464580490082
11_10_lst016_quiet_smooth_S1000_multi,2026071301,smooth,1000.0,multi,11_10,16,0.22577422577422576,0.2757242757242757,0.0012050952387114577,0.003065645084517496,False,False,False,False,False,False,False,0.08680064291781683
11_10_lst016_quiet_smooth_S1000_multi,2026071302,smooth,1000.0,multi,11_10,16,0.8421578421578422,0.44455544455544455,0.0010918468446222797,0.0030190990756967274,False,False,False,False,False,False,False,-0.27746756364381076
