paired_case_id,beam_model,coherent_pte_global_absint,coherent_minuslog10_pte_absint,coherent_relative_abs_bias,coherent_t_absint,percentile_t_absint_vs_random,percentile_minuslog10_pte_absint_vs_random,percentile_brel_vs_random
11_10_lst016_quiet_smooth_S1000_single,frozen_polybeam,0.1648351648351648,0.7829501332654124,0.0008877958244136,3232.2246108872346,60.0,60.0,60.0
11_10_lst016_quiet_smooth_S1000_multi,frozen_polybeam,0.0059940059940059,2.2222828270956816,0.0012953278338462,4715.938494630976,100.0,100.0,100.0
11_10_lst016_quiet_lines_S1000_multi,frozen_polybeam,0.0079920079920079,2.09734409048738,0.0012954022262241,4716.209337169651,100.0,100.0,100.0
11_10_lst016_quiet_khz_comb_S1000_multi,frozen_polybeam,0.0079920079920079,2.09734409048738,0.0011537141679365,4200.361417555407,100.0,100.0,100.0
11_10_lst016_quiet_smooth_S1000_single,full_polybeam,0.0269730269730269,1.5690703133203325,0.0030166886165642,10982.947792396062,80.0,80.0,80.0
11_10_lst016_quiet_smooth_S1000_multi,full_polybeam,0.0389610389610389,1.4093694704528201,0.0031535822114641,11481.340366838074,100.0,100.0,100.0
11_10_lst016_quiet_lines_S1000_multi,full_polybeam,0.0299700299700299,1.5233128227596573,0.0031543027309756,11483.963583611096,100.0,100.0,100.0
11_10_lst016_quiet_khz_comb_S1000_multi,full_polybeam,0.0309690309690309,1.509072383645047,0.0026232095400866,9550.396838802655,100.0,100.0,100.0
4_196_lst053_typical_lines_S1000_multi,frozen_polybeam,0.0399600399600399,1.398374086151357,0.0087511532163202,35717.898376690406,100.0,100.0,100.0
4_196_lst053_typical_lines_S1000_multi,full_polybeam,0.2557442557442557,0.5921941121674692,0.01008515638715,41162.64245922163,60.0,60.0,60.0
