paired_case_id,beam_model,n_phase_seeds,n_strict_local,n_strict_integrated,n_physical_1e3,n_physical_1e2,n_integrated_physical_1e3,n_integrated_physical_1e2,rate_strict_local,rate_strict_local_wilson95_lo,rate_strict_local_wilson95_hi,rate_strict_integrated,rate_strict_integrated_wilson95_lo,rate_strict_integrated_wilson95_hi,rate_integrated_physical_1e3,rate_integrated_physical_1e3_wilson95_lo,rate_integrated_physical_1e3_wilson95_hi,rate_integrated_physical_1e2,rate_integrated_physical_1e2_wilson95_lo,rate_integrated_physical_1e2_wilson95_hi,n_pair_phase_seeds,n_beam_robust_integrated_1e3,n_frozen_only_integrated_1e3,n_full_only_integrated_1e3,median_delta_beam_logpte
11_10_lst016_quiet_khz_comb_S1000_multi,frozen_polybeam,5,0,0,3,0,0,0,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,5,0,0,0,0.05968510499713174
11_10_lst016_quiet_khz_comb_S1000_multi,full_polybeam,5,0,0,5,0,0,0,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,5,0,0,0,0.05968510499713174
11_10_lst016_quiet_lines_S1000_multi,frozen_polybeam,5,0,0,5,0,0,0,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,5,0,0,0,0.11147613228933764
11_10_lst016_quiet_lines_S1000_multi,full_polybeam,5,0,0,5,0,0,0,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,5,0,0,0,0.11147613228933764
11_10_lst016_quiet_smooth_S1000_multi,frozen_polybeam,5,0,0,5,0,0,0,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,5,0,0,0,0.08680064291781683
11_10_lst016_quiet_smooth_S1000_multi,full_polybeam,5,0,0,5,0,0,0,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,5,0,0,0,0.08680064291781683
11_10_lst016_quiet_smooth_S1000_single,frozen_polybeam,5,0,0,0,0,0,0,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,5,0,0,1,-0.034399620233741754
11_10_lst016_quiet_smooth_S1000_single,full_polybeam,5,0,1,5,0,1,0,0.0,2.7755575615628914e-17,0.43448246478317465,0.2,0.03622410863243014,0.6244653702374745,0.2,0.03622410863243014,0.6244653702374745,0.0,2.7755575615628914e-17,0.43448246478317465,5,0,0,1,-0.034399620233741754
4_196_lst053_typical_lines_S1000_multi,frozen_polybeam,5,0,0,5,0,0,0,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,5,0,0,0,-0.04546689537960665
4_196_lst053_typical_lines_S1000_multi,full_polybeam,5,0,0,5,2,0,0,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,0.0,2.7755575615628914e-17,0.43448246478317465,5,0,0,0,-0.04546689537960665
