term,coef,pvalue,stderr
Intercept,0.3191120223960555,0.06749196318216122,0.1742216428404785
C(beam_model)[T.full_polybeam],0.0057855033069879255,0.9766616407247659,0.1976836728984101
C(morphology)[T.lines],-0.018957451032786305,0.9026064469920948,0.15485539679490531
C(morphology)[T.smooth],-0.08131132191143067,0.599719036327512,0.15485539679490748
C(flux_jy)[T.1000.0],-0.03961179667555774,0.6578821604811367,0.08940580502500578
C(multiplicity)[T.single],-0.7821769179766613,2.1031037959007686e-17,0.08940580502500578
C(baseline_class)[T.mid],0.19042627307864884,0.0792117134453227,0.1083063446057233
C(baseline_class)[T.short],0.5799338312540852,0.0003465732899272378,0.16117860717089671
C(lst_stratum)[T.stress],0.2874522217709252,0.06705631964855328,0.15668645361666902
C(lst_stratum)[T.typical],0.8143480027625895,1.1884494179174261e-07,0.15196064815032498
C(beam_model)[T.full_polybeam]:C(morphology)[T.lines],-0.022246368211621632,0.9191216590340381,0.21899860235402444
C(beam_model)[T.full_polybeam]:C(morphology)[T.smooth],-0.026854415372395583,0.9024454868784958,0.2189986023540232
C(beam_model)[T.full_polybeam]:C(lst_stratum)[T.stress],-0.1467070914767921,0.5080430308241097,0.22151880731851464
C(beam_model)[T.full_polybeam]:C(lst_stratum)[T.typical],-0.16942700024836632,0.4307797904708567,0.21490480956119587
