factor,level,rows,median_Z_PS_max,p95_Z_PS_max,min_PTE_global_max,median_relative_abs_bias,n_Zgt3,n_candidate_statistical
beam_model,frozen_polybeam,324,0.35758835599655464,2.806870904530908,0.0099009900990099,0.0030827317073283504,15,15
beam_model,full_polybeam,324,0.4887360320691347,1.8839931802179146,0.0099009900990099,0.0034748382982066,5,3
morphology,khz_comb,216,0.5019091159147999,2.305064675538193,0.0099009900990099,0.0029811959818210002,6,9
morphology,lines,216,0.3852326455399846,2.2729893231440106,0.0099009900990099,0.0033422272810209,7,4
morphology,smooth,216,0.36112703054998174,2.325518810381047,0.0099009900990099,0.0033417263375876,7,5
flux_jy,30.0,324,0.4427242004114919,2.5379150329745066,0.0099009900990099,0.0005418381646311,11,11
flux_jy,1000.0,324,0.40122527216753323,2.0983205314992777,0.0099009900990099,0.01984047345941985,9,7
multiplicity,multi,324,0.6062016943273834,2.7883500512591755,0.0099009900990099,0.0067009546338644005,14,7
multiplicity,single,324,0.10509041534214505,1.5959369064836662,0.0099009900990099,0.00159812713261115,6,11
baseline_class,long,144,0.3618642707479255,1.4717576121554412,0.0099009900990099,0.00835972319309735,0,2
baseline_class,mid,432,0.3798201421775549,2.3385996576780332,0.0099009900990099,0.00340910830066215,12,8
baseline_class,short,72,0.7262891381595198,3.979699555270607,0.0099009900990099,0.001159008383383,8,8
lst_stratum,quiet,216,0.1647225276883994,1.3501797281943895,0.0198019801980198,0.0009505562686342,0,0
lst_stratum,stress,216,0.445329163960549,1.7590919099848852,0.0099009900990099,0.0019509407635768,5,7
lst_stratum,typical,216,0.6653625065184577,3.4345779504786953,0.0099009900990099,0.0069095053733136,15,11
