baseline_id,baseline_class,lst_stratum,lst_bin_id,rows,median_Z_PS_max,p95_Z_PS_max,min_PTE_global_max,median_PTE_global_absint,median_relative_abs_bias,p95_relative_abs_bias,n_candidate_statistical,n_candidate_physical_1e2
0_1,short,quiet,17,24,0.6772175360395589,1.1128450655522786,0.1782178217821782,0.7425742574257426,0.0005234840192348509,0.00123538200233312,0,0
0_1,short,stress,0,24,0.2850744885068608,1.5250477736581,0.099009900990099,0.28217821782178215,0.004133551531678,0.015674598548343025,0,0
0_1,short,typical,44,24,0.36965784756213965,2.3560815444596703,0.0099009900990099,0.8564356435643564,0.0261095511949216,0.105338858721917,1,0
0_197,mid,quiet,22,24,-0.5493121175881174,-0.22676299156905222,0.594059405940594,0.4801980198019802,0.00033721029286560753,0.0018413212283893247,0,0
0_197,mid,stress,0,24,1.0744371417585474,1.6288862100952026,0.0297029702970297,0.0891089108910891,0.0045499245993003,0.018172975845810128,0,0
0_197,mid,typical,36,24,0.5996426429500006,2.662317835931451,0.0198019801980198,0.8514851485148515,0.00112962602026845,0.012980919138410112,0,0
11_10,mid,quiet,16,24,-0.6906166210924141,0.36024073746421054,0.3366336633663366,0.06435643564356436,0.00044800470424930384,0.0031330481722291145,0,0
11_10,mid,stress,64,24,,,1.0,1.0,0.0,0.0,0,0
11_10,mid,typical,44,24,-1.381028996298681,-0.726228150363837,0.6633663366336634,0.693069306930693,0.007518969288055751,0.024646130177108906,0,0
157_146,mid,quiet,16,24,-1.0135344981642718,-0.5640204358539996,0.6831683168316832,0.6039603960396039,0.00042848087308241405,0.0012945493501164747,0,0
157_146,mid,stress,0,24,-0.3360887635133678,0.07970065743163285,0.4455445544554455,0.5396039603960396,0.0028240512619954502,0.008234425648082978,0,0
157_146,mid,typical,46,24,0.3452366639525267,0.7824153180059075,0.198019801980198,0.6435643564356436,0.0017998525945206,0.008533890460892042,0,0
159_76,mid,quiet,22,24,-0.31350947490657244,0.04836077506208189,0.4752475247524752,0.25742574257425743,0.0004861532190900975,0.0011996482658112398,0,0
159_76,mid,stress,0,24,0.05648952297884815,1.7318358656698873,0.1188118811881188,0.2079207920792079,0.01062227017630865,0.03400451756211615,0,0
159_76,mid,typical,44,24,-0.44159259643985344,0.3266049199962101,0.297029702970297,0.3712871287128713,0.01323181071609855,0.028291247988409464,0,0
23_80,long,quiet,48,24,0.5396489932676604,1.8533257260167169,0.0198019801980198,0.3613861386138614,0.0003056219950172338,0.0019917303216577297,0,0
23_80,long,stress,0,24,-0.253376164170467,0.8729811792881622,0.2475247524752475,0.8316831683168316,0.0014190763267064499,0.007832815467130551,0,0
23_80,long,typical,44,24,0.5123805967898363,1.1644186486529324,0.1683168316831683,0.33168316831683164,0.00546527825669855,0.011496948394544456,0,0
4_196,long,quiet,48,24,-0.15315541421905346,1.2378404880776979,0.0792079207920792,0.6584158415841584,9.356268930170438e-05,0.0008836171374241099,0,0
4_196,long,stress,0,24,-0.16517709954356044,0.2293723106043633,0.3762376237623762,0.8415841584158416,0.0130088446142494,0.03759527664858541,0,0
4_196,long,typical,53,24,0.22602860598401436,0.7540601947115516,0.198019801980198,0.297029702970297,0.00285485812611995,0.009911554113257793,0,0
4_76,mid,quiet,17,24,1.3017461753045194,1.8935022862880013,0.1386138613861386,0.2772277227722772,0.0012706239449385493,0.003302344903871335,0,0
4_76,mid,stress,0,24,0.21680930152002997,2.1449871430381764,0.1188118811881188,0.3613861386138614,0.00354319924233965,0.08862586247192372,0,0
4_76,mid,typical,33,24,0.1392232486907216,1.1073232739211483,0.2178217821782178,0.4851485148514851,0.00338878693317645,0.6096169107200469,0,0
82_0,mid,quiet,17,24,-1.034766082886077,-0.6659562068821795,0.7524752475247525,0.6534653465346535,0.0018145155677569001,0.008459867327235995,0,0
82_0,mid,stress,64,24,0.31015561349225257,0.8491344633050378,0.1089108910891089,0.7376237623762376,0.00049267858150675,0.025988892632383513,0,0
82_0,mid,typical,18,24,-0.46190652594079873,-0.036248698407665286,0.4455445544554455,0.7574257425742574,0.0025224907617403,0.011950847968161493,0,0
