pair,baseline_id,lst_stratum,lst_bin_id,morphology,flux_jy,multiplicity,baseline_length_m,seed_frozen,injection_mode_frozen,seed_full,injection_mode_full,PTE_global_absint_new_frozen,relative_abs_bias_frozen,PTE_global_absint_new_full,relative_abs_bias_full
1,23_80,typical,44,smooth,1000.0,multi,207.2758462936688,20273824,coherent_ab,20274232,coherent_ab,0.0019980019980019,0.2062510478599296,0.0019980019980019,0.2049748105817515
2,23_80,typical,44,lines,1000.0,multi,207.2758462936688,20273960,coherent_ab,20274368,coherent_ab,0.0009990009990009,0.2063280511056938,0.0019980019980019,0.2050610820417284
3,23_80,typical,44,khz_comb,1000.0,multi,207.2758462936688,20274096,coherent_ab,20274504,coherent_ab,0.0039960039960039,0.1954572653109474,0.0009990009990009,0.1830212798090494
4,4_196,stress,0,smooth,30.0,multi,190.65540049004915,20276976,coherent_ab,20277384,coherent_ab,0.0059940059940059,0.001900091598735,0.0059940059940059,0.0023741330947551
5,4_196,stress,0,smooth,300.0,multi,190.65540049004915,20277010,coherent_ab,20277418,coherent_ab,0.0029970029970029,0.0191497856155541,0.0049950049950049,0.0240465090139401
6,4_196,stress,0,smooth,1000.0,multi,190.65540049004915,20277044,coherent_ab,20277452,coherent_ab,0.0029970029970029,0.0669359766884876,0.0019980019980019,0.0876073758946395
7,4_196,stress,0,lines,30.0,multi,190.65540049004915,20277112,coherent_ab,20277520,coherent_ab,0.0069930069930069,0.0018995590794941,0.0059940059940059,0.0023739161772471
8,4_196,stress,0,lines,300.0,multi,190.65540049004915,20277146,coherent_ab,20277554,coherent_ab,0.0029970029970029,0.0191430973107793,0.0059940059940059,0.0240457614407214
9,4_196,stress,0,lines,1000.0,multi,190.65540049004915,20277180,coherent_ab,20277588,coherent_ab,0.0029970029970029,0.0669341285220238,0.0029970029970029,0.0875957221477793
10,4_196,stress,0,khz_comb,300.0,multi,190.65540049004915,20277282,coherent_ab,20277690,coherent_ab,0.0059940059940059,0.0174374946112384,0.0059940059940059,0.0208328934942525
11,4_196,stress,0,khz_comb,1000.0,multi,190.65540049004915,20277316,coherent_ab,20277724,coherent_ab,0.0049950049950049,0.0607432478378522,0.0039960039960039,0.0743929154869547
