pair,baseline_id,lst_stratum,lst_bin_id,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,bias_floor,frozen_PTE_max_1000,frozen_PTE_absint_1000,frozen_B_rel,frozen_retained,full_PTE_max_1000,full_PTE_absint_1000,full_B_rel,full_retained,pair_status,seed_frozen,seed_full,cal_seed
1,23_80,typical,44,smooth,1000.0,multi,smooth,0.0,0.5,0.001,0.25274725274725274,0.001998001998001998,0.20625104785992968,True,0.24175824175824176,0.001998001998001998,0.20497481058175157,True,beam-robust retained,20273824,20274232,10
1,23_80,typical,44,smooth,1000.0,multi,smooth,0.0,1.0,0.001,0.25274725274725274,0.001998001998001998,0.20625104785992968,True,0.24175824175824176,0.001998001998001998,0.20497481058175157,True,beam-robust retained,20273824,20274232,10
1,23_80,typical,44,smooth,1000.0,multi,smooth,0.0,5.0,0.001,0.25274725274725274,0.001998001998001998,0.20625104785992968,True,0.24175824175824176,0.001998001998001998,0.20497481058175157,True,beam-robust retained,20273824,20274232,10
1,23_80,typical,44,smooth,1000.0,multi,smooth,0.0001,0.5,0.001,0.25274725274725274,0.001998001998001998,0.20624586252902563,True,0.24175824175824176,0.001998001998001998,0.20497029936032798,True,beam-robust retained,20273824,20274232,10
1,23_80,typical,44,smooth,1000.0,multi,smooth,0.0001,1.0,0.001,0.25274725274725274,0.001998001998001998,0.20626179022478827,True,0.24275724275724275,0.001998001998001998,0.2049851416552704,True,beam-robust retained,20273824,20274232,10
1,23_80,typical,44,smooth,1000.0,multi,smooth,0.0001,5.0,0.001,0.25274725274725274,0.001998001998001998,0.20623596294778485,True,0.24175824175824176,0.001998001998001998,0.20495982297035195,True,beam-robust retained,20273824,20274232,10
1,23_80,typical,44,smooth,1000.0,multi,smooth,0.001,0.5,0.001,0.25274725274725274,0.001998001998001998,0.20635423852446647,True,0.24175824175824176,0.001998001998001998,0.2050828728144621,True,beam-robust retained,20273824,20274232,10
1,23_80,typical,44,smooth,1000.0,multi,smooth,0.001,1.0,0.001,0.25274725274725274,0.001998001998001998,0.20638810719128095,True,0.24175824175824176,0.001998001998001998,0.20511441539868214,True,beam-robust retained,20273824,20274232,10
1,23_80,typical,44,smooth,1000.0,multi,smooth,0.001,5.0,0.001,0.25574425574425574,0.001998001998001998,0.20647610799155372,True,0.24175824175824176,0.001998001998001998,0.20519461051543036,True,beam-robust retained,20273824,20274232,10
1,23_80,typical,44,smooth,1000.0,multi,smooth,0.01,0.5,0.001,0.26173826173826176,0.001998001998001998,0.20454873343173452,True,0.23476523476523475,0.001998001998001998,0.20325717094260404,True,beam-robust retained,20273824,20274232,10
1,23_80,typical,44,smooth,1000.0,multi,smooth,0.01,1.0,0.001,0.26173826173826176,0.001998001998001998,0.20523933546593945,True,0.23976023976023977,0.001998001998001998,0.2040486865685978,True,beam-robust retained,20273824,20274232,10
1,23_80,typical,44,smooth,1000.0,multi,smooth,0.01,5.0,0.001,0.25574425574425574,0.001998001998001998,0.20640272335684587,True,0.23076923076923078,0.001998001998001998,0.20500574824559337,True,beam-robust retained,20273824,20274232,10
1,23_80,typical,44,smooth,1000.0,multi,white,0.0,,0.001,0.25274725274725274,0.001998001998001998,0.20625104785992968,True,0.24175824175824176,0.001998001998001998,0.20497481058175157,True,beam-robust retained,20273824,20274232,10
1,23_80,typical,44,smooth,1000.0,multi,white,0.0001,,0.001,0.25274725274725274,0.001998001998001998,0.20623519697190332,True,0.24175824175824176,0.001998001998001998,0.20496043822876556,True,beam-robust retained,20273824,20274232,10
1,23_80,typical,44,smooth,1000.0,multi,white,0.001,,0.001,0.25274725274725274,0.001998001998001998,0.20625894638081274,True,0.24275724275724275,0.001998001998001998,0.2049725861750718,True,beam-robust retained,20273824,20274232,10
