residual_model,sigma_cal,ell_nu_mhz,pair_status,n_pairs
smooth,0.0,0.5,beam-robust retained,11
smooth,0.0,1.0,beam-robust retained,11
smooth,0.0,5.0,beam-robust retained,11
smooth,0.0001,0.5,beam-robust retained,11
smooth,0.0001,1.0,beam-robust retained,11
smooth,0.0001,5.0,beam-robust retained,11
smooth,0.001,0.5,beam-robust retained,11
smooth,0.001,1.0,beam-robust retained,11
smooth,0.001,5.0,beam-robust retained,11
smooth,0.01,0.5,beam-robust retained,11
smooth,0.01,1.0,beam-robust retained,11
smooth,0.01,5.0,beam-robust retained,11
white,0.0,,beam-robust retained,11
white,0.0001,,beam-robust retained,11
white,0.001,,beam-robust retained,11
white,0.01,,beam-robust retained,11
