case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,cal_seed,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.01,,1,0.003996003996003996,0.026929404562797413,0.000999000999000999,0.01098901098901099,0.02475540578680951,0.10789210789210789,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.01,,2,0.003996003996003996,0.026836701717774678,0.000999000999000999,0.011988011988011988,0.02468018525550468,0.1068931068931069,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.01,,3,0.003996003996003996,0.026789385735094207,0.000999000999000999,0.011988011988011988,0.024636941511842193,0.1068931068931069,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.01,,4,0.003996003996003996,0.026823969047158794,0.000999000999000999,0.012987012987012988,0.02466623903724479,0.10789210789210789,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.01,,5,0.003996003996003996,0.026766630226012274,0.000999000999000999,0.011988011988011988,0.024623581347245786,0.10789210789210789,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.01,,6,0.003996003996003996,0.026789997494454286,0.000999000999000999,0.011988011988011988,0.024640736482282957,0.1088911088911089,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.01,,7,0.003996003996003996,0.026873391444993327,0.000999000999000999,0.013986013986013986,0.02472075421437867,0.1048951048951049,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.01,,8,0.003996003996003996,0.02690560943235003,0.000999000999000999,0.011988011988011988,0.02480941720333946,0.1048951048951049,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.01,,9,0.003996003996003996,0.026634902778344786,0.000999000999000999,0.011988011988011988,0.02449581739925013,0.1088911088911089,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.01,,10,0.003996003996003996,0.026799151624835937,0.000999000999000999,0.011988011988011988,0.024663563029414175,0.10589410589410589,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,1.0,1,0.003996003996003996,0.026894853692643467,0.000999000999000999,0.011988011988011988,0.024711071000347116,0.10789210789210789,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,1.0,2,0.003996003996003996,0.02697662698378354,0.000999000999000999,0.011988011988011988,0.024813938117005843,0.1068931068931069,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,1.0,3,0.003996003996003996,0.026715284952116253,0.000999000999000999,0.012987012987012988,0.024568315784437526,0.10789210789210789,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,1.0,4,0.003996003996003996,0.026862073245569804,0.000999000999000999,0.011988011988011988,0.024685872491072843,0.1068931068931069,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,1.0,5,0.003996003996003996,0.02676585877570393,0.000999000999000999,0.011988011988011988,0.024672200765487498,0.1088911088911089,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,1.0,6,0.003996003996003996,0.02672322611355574,0.000999000999000999,0.012987012987012988,0.02460592586675913,0.1068931068931069,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,1.0,7,0.003996003996003996,0.026936272405179887,0.000999000999000999,0.012987012987012988,0.024750443156734414,0.1068931068931069,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,1.0,8,0.003996003996003996,0.02694685246034085,0.000999000999000999,0.011988011988011988,0.024781966644177048,0.10589410589410589,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,1.0,9,0.003996003996003996,0.02683558011928161,0.000999000999000999,0.011988011988011988,0.024657220919102673,0.10789210789210789,beam-sensitive candidate
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,1.0,10,0.003996003996003996,0.0268083464141508,0.000999000999000999,0.013986013986013986,0.024665324791689786,0.1068931068931069,beam-sensitive candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,white,0.01,,1,0.01898101898101898,0.028788045193776774,0.03696303696303696,0.08791208791208792,0.034756279218033516,0.03396603396603397,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,white,0.01,,2,0.00999000999000999,0.028737907010489276,0.03896103896103896,0.08391608391608392,0.03468737252180443,0.03396603396603397,window-integrated candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,white,0.01,,3,0.011988011988011988,0.02874466784818796,0.03896103896103896,0.08091908091908091,0.03467542821929178,0.03596403596403597,local-only QA candidate
