term,coef,pvalue,stderr
Intercept,0.014195827784577123,0.922465898946414,0.14579516566291598
C(beam_model)[T.full_polybeam],0.12061514259061373,0.46621734093552425,0.16542906707329633
C(morphology)[T.lines],-0.02140433326186203,0.8688639498630142,0.12958876900375693
C(morphology)[T.smooth],0.00418150147339982,0.974269307204418,0.12958876900375874
C(flux_jy)[T.1000.0],-0.12799208662568612,0.08764309685962599,0.07481811066827204
C(multiplicity)[T.single],-0.02573133846986081,0.7310260328074412,0.07481811066827204
C(baseline_class)[T.mid],-0.23483218951644116,0.009799421066650674,0.09063478679623341
C(baseline_class)[T.short],0.24115459140210233,0.07428581650074109,0.13488026717389667
C(lst_stratum)[T.stress],0.3085608795399097,0.01892649341310897,0.13112106561349376
C(lst_stratum)[T.typical],0.18373892096503294,0.14900766340428573,0.12716633542255415
C(beam_model)[T.full_polybeam]:C(morphology)[T.lines],-0.034211087563616384,0.8519780777711304,0.18326619465634905
C(beam_model)[T.full_polybeam]:C(morphology)[T.smooth],-0.016504280037054987,0.9282720166961228,0.183266194656348
C(beam_model)[T.full_polybeam]:C(lst_stratum)[T.stress],-0.01592608046610222,0.931564020086353,0.18537519612316902
C(beam_model)[T.full_polybeam]:C(lst_stratum)[T.typical],-0.10654730207312482,0.5537655501378251,0.17984035623186242
