baseline_id,baseline_length_m,baseline_class,lst_stratum,lst_bin_id,lst_start,lst_end,beam_model,morphology,flux_jy,multiplicity,injection_mode,n_sat_visible,n_sat_ranked_visible,n_injected,selected_norad_ids,selected_peak_alts_deg,flag_fraction,pre_risk_score,metadata_beam_weighted_sat_exposure,metadata_n_sat_visible_center,metadata_n_sat_visible_any_bin,metadata_n_sat_visible_peak_bin,metadata_n_sat_peak_visible,metadata_beam_weighted_sat_exposure_center,metadata_beam_weighted_sat_exposure_bin_mean,metadata_max_sat_beam_response_center,metadata_max_sat_beam_response_bin,metadata_pre_risk_score_bin,metadata_null_mad_win_proxy,sat_peak_abs_jy_sum,sat_peak_abs_jy_max,sat_mean_abs_jy_sum,zero_coupling,seed,n_null,Z_PS_max,Z_PS_abs_integrated,PTE_global_max,PTE_global_absint,obs_max_bias,obs_abs_integrated,null_max_bias_p50,null_max_bias_p95,null_max_bias_p99,null_abs_integrated_p50,null_abs_integrated_p95,null_abs_integrated_p99,null_mad_win,Z_PS_bin_max,Z_PS_bin_p95,window_abs_bias_sum,window_signed_bias_sum,window_bg_abs_sum,relative_abs_bias,n_window_bins,kperp,kpar_min_window,kpar_max_window,tau_ns_min_window,tau_ns_max_window,null_global_stats_path,z_eff,X_mpc,Y_mpc_per_hz,nu_eff_hz,PS_gt_2,PS_gt_3,flag_exploratory,candidate_statistical,candidate_floor_1em08,candidate_floor_1em07,candidate_floor_1em06,candidate_floor_1em05,candidate_floor_1em04,candidate_floor_1em03,candidate_floor_1em02,candidate_floor_1em01
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,smooth,30.0,single,coherent_ab,2,19,1,45651,84.983,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,0.6729753400155015,0.6729753400155015,0.005114030846523009,False,20260622,100,0.5799812192439254,0.1907567333210129,0.2376237623762376,0.4158415841584158,882.2668473049998,31021.66595911915,804.8141883704811,981.0598613519221,983.4167875958979,30425.774087805818,32915.911096858355,32947.93313594652,90.07378345169127,1.1857460371847341,1.0809033214828576,31021.66595911915,-2628.709662487169,3315845847.160797,9.355581468204121e-06,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\coverage_null_global_stats_all_tle_full\0_1_lst017_quiet_frozen_polybeam_smooth_S30_single.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,smooth,30.0,multi,coherent_ab,2,19,12,45651;46168;58428;58428;57787;57787;55657;54377;54377;54377;54377;51856,84.983;83.229;81.222;81.222;77.601;77.601;77.599;74.834;74.834;74.834;74.834;72.547,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,5.351130699501337,2.8244797714226975,0.017632013128613944,False,20260639,100,-0.13735626168256143,-0.28239810078347577,0.5643564356435643,0.5841584158415841,3498.6360092684627,115906.51548062928,3722.628938872367,6506.089054206944,7433.9076801050505,128484.39580824468,189672.24745991954,213710.6668593759,1099.921906400472,2.6045130992772876,1.4888675406398588,115906.51548062928,-11885.996384995371,3315845847.160797,3.495533894613182e-05,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\coverage_null_global_stats_all_tle_full\0_1_lst017_quiet_frozen_polybeam_smooth_S30_multi.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,smooth,1000.0,single,coherent_ab,2,19,1,45651,84.983,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,22.43251133385005,22.43251133385005,0.1704676948841003,False,20260656,100,0.7290972083561372,-0.07039100910862157,0.21782178217821782,0.5148514851485149,31442.691776867956,1033339.2025277999,28947.771601855755,33172.74512587823,33541.44868894145,1039160.0651969324,1100041.7466660913,1102677.409671536,2308.060687094927,1.0993138352900251,1.0244599598829052,1033339.2025277999,-28189.341871663688,3315845847.160797,0.0003116366834159675,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\coverage_null_global_stats_all_tle_full\0_1_lst017_quiet_frozen_polybeam_smooth_S1000_single.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,smooth,1000.0,multi,coherent_ab,2,19,12,45651;46168;58428;58428;57787;57787;55657;54377;54377;54377;54377;51856,84.983;83.229;81.222;81.222;77.601;77.601;77.599;74.834;74.834;74.834;74.834;72.547,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,178.37102331671124,94.1493257140899,0.5877337709537982,False,20260673,100,0.16935308605283603,-0.18538822769496585,0.42574257425742573,0.5841584158415841,119278.37773724645,3859399.4656546954,110014.55650953203,209885.6363495823,251078.00845128085,4104402.140243118,6071760.3120442685,6798996.54889781,36895.470647562295,2.8327113980099106,1.6253927330530658,3859399.4656546954,-311891.7218803199,3315845847.160797,0.0011639260820762575,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\coverage_null_global_stats_all_tle_full\0_1_lst017_quiet_frozen_polybeam_smooth_S1000_multi.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,lines,30.0,single,coherent_ab,2,19,1,45651,84.983,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,0.6729750414411958,0.6729750414411958,0.005120068203025058,False,20260690,100,0.9559982650470193,0.6135935045812788,0.1485148514851485,0.37623762376237624,884.4130605272949,31015.960725263765,766.5366301182657,895.6376151617617,966.8238066072017,29477.13218974023,32926.40951167791,32958.73570919541,83.1660118829459,0.9507792167243018,0.8591119631515964,31015.960725263765,-2633.706294566876,3315845847.160797,9.35386087137352e-06,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\coverage_null_global_stats_all_tle_full\0_1_lst017_quiet_frozen_polybeam_lines_S30_single.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,lines,30.0,multi,coherent_ab,2,19,12,45651;46168;58428;58428;57787;57787;55657;54377;54377;54377;54377;51856,84.983;83.229;81.222;81.222;77.601;77.601;77.599;74.834;74.834;74.834;74.834;72.547,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,5.351063074197285,2.824420787551837,0.0176525053738433,False,20260707,100,0.07648075404465425,-0.35535201948024425,0.48514851485148514,0.6633663366336634,3507.3744267746806,115900.30797822433,3389.6791100353003,6900.998604468628,8248.532528531554,131416.67935510929,195786.8983710733,226210.42080317507,1037.9657544698566,2.745519115776711,1.4964926304434254,115900.30797822433,-11880.30254487129,3315845847.160797,3.495346687406e-05,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\coverage_null_global_stats_all_tle_full\0_1_lst017_quiet_frozen_polybeam_lines_S30_multi.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,lines,1000.0,single,coherent_ab,2,19,1,45651,84.983,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,22.4325013813732,22.4325013813732,0.17066894010083525,False,20260724,100,0.8130656669689569,0.2802164317081473,0.13861386138613863,0.42574257425742573,31523.59680664912,1033243.9021661602,28015.655102899298,33183.091177713126,33278.83514639407,1009472.5186458677,1094010.014954246,1102566.6552697076,2910.0653982628137,1.052569603715192,1.0082866892955924,1033243.9021661602,-28390.091149381922,3315845847.160797,0.00031160794252569924,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\coverage_null_global_stats_all_tle_full\0_1_lst017_quiet_frozen_polybeam_lines_S1000_single.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,lines,1000.0,multi,coherent_ab,2,19,12,45651;46168;58428;58428;57787;57787;55657;54377;54377;54377;54377;51856,84.983;83.229;81.222;81.222;77.601;77.601;77.599;74.834;74.834;74.834;74.834;72.547,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,178.36876913990955,94.14735958506124,0.5884168457947766,False,20260741,100,0.08301825114174967,-0.27360488040752523,0.4752475247524752,0.6138613861386139,119584.36619114131,3859320.7209165706,114992.6754200533,261142.8554065645,281014.5571415858,4241671.3699058555,6952404.824558044,7189103.910583425,37305.68824179098,2.5075845874163316,1.4213105718819574,3859320.7209165706,-311722.52026831626,3315845847.160797,0.0011639023340669246,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\coverage_null_global_stats_all_tle_full\0_1_lst017_quiet_frozen_polybeam_lines_S1000_multi.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,khz_comb,30.0,single,coherent_ab,2,19,1,45651,84.983,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,0.6553909686229452,0.6553909686229452,0.004624803602601466,False,20260758,100,0.7503783409324793,0.09068376564680201,0.18811881188118812,0.44554455445544555,784.8512924648821,27452.868357710475,715.836534935981,824.6782109249383,837.8413242147863,27232.24643107299,29370.69498613474,29393.82841919351,62.03512772358954,0.8040151689581585,0.7852914919278142,27452.868357710475,-2272.066187089942,3315845847.160797,8.279295728182622e-06,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\coverage_null_global_stats_all_tle_full\0_1_lst017_quiet_frozen_polybeam_khz_comb_S30_single.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,khz_comb,30.0,multi,coherent_ab,2,19,12,45651;46168;58428;58428;57787;57787;55657;54377;54377;54377;54377;51856,84.983;83.229;81.222;81.222;77.601;77.601;77.599;74.834;74.834;74.834;74.834;72.547,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,4.7061910875980155,2.3244370170823023,0.01580067811353768,False,20260775,100,0.05829897446867016,-0.49985852347881565,0.48514851485148514,0.7029702970297029,3040.9662343487144,100024.92920719812,2948.948736563325,5671.14736970067,7242.643349843102,117857.48241155563,173219.84714794953,187327.8919626243,1064.597662858665,3.1456012812381013,1.8825673581794748,100024.92920719812,-9212.447216523204,3315845847.160797,3.0165735627560843e-05,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\coverage_null_global_stats_all_tle_full\0_1_lst017_quiet_frozen_polybeam_khz_comb_S30_multi.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
