factor,level,rows,median_Z_PS_max,p95_Z_PS_max,min_PTE_global_max,median_relative_abs_bias,n_Zgt3,n_candidate_statistical
beam_model,frozen_polybeam,324,-0.15896758394183313,1.382710067317469,0.0297029702970297,0.0005814059694257,0,0
beam_model,full_polybeam,324,-0.0826387104722109,1.869057187179882,0.0099009900990099,0.0008930409892908501,1,1
morphology,khz_comb,216,-0.0377272367440427,1.6619762818947095,0.0198019801980198,0.0006862690931056,0,0
morphology,lines,216,-0.1555648083982259,1.661962439286435,0.0198019801980198,0.00077276467653095,0,0
morphology,smooth,216,-0.17939851633987444,1.5732670820650854,0.0099009900990099,0.0007728106040052,1,1
flux_jy,30.0,324,-0.057061224487529705,1.7764541769828723,0.0099009900990099,0.0001742298539542,1,1
flux_jy,1000.0,324,-0.1523447103181233,1.3970920164498566,0.0198019801980198,0.00581092075349675,0,0
multiplicity,multi,324,-0.15248020762393777,1.719897126009245,0.0099009900990099,0.0008930409892908501,1,1
multiplicity,single,324,-0.0890261221221007,1.5917269653673505,0.0198019801980198,0.00058007721692535,0,0
baseline_class,long,144,0.043453324157215006,1.2960907777845876,0.0198019801980198,0.00073857102400865,0,0
baseline_class,mid,432,-0.3051757773868501,1.6443211631874537,0.0198019801980198,0.0007145640398622,0,0
baseline_class,short,72,0.5928446361833624,2.0163844737178134,0.0099009900990099,0.0007901040056157,1,1
lst_stratum,quiet,216,-0.4237439959595247,1.5385473377524876,0.0198019801980198,0.00024696777223439997,0,0
lst_stratum,stress,216,-0.0268131146653083,1.6906512602745984,0.0297029702970297,0.0008159074695855,0,0
lst_stratum,typical,216,0.009348655982842999,1.7989131414706885,0.0099009900990099,0.0018705684212803001,1,1
