case,doppler_mode,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class,primary_seed,paired_seed,primary_selected_norad_ids,paired_selected_norad_ids
1,none,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,0.003996003996003996,0.026818709896426596,0.000999000999000999,0.011988011988011988,0.024656801558246212,0.1068931068931069,beam-sensitive candidate,20271010,20271214,51852;51852;59338;59338;44933;54377;54377;54377;54377;56383;56383;55671,51852;51852;59338;59338;44933;54377;54377;54377;54377;56383;56383;55671
1,constant,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,0.003996003996003996,0.026811502562661883,0.000999000999000999,0.011988011988011988,0.02465580620541288,0.1068931068931069,beam-sensitive candidate,20271010,20271214,51852;51852;59338;59338;44933;54377;54377;54377;54377;56383;56383;55671,51852;51852;59338;59338;44933;54377;54377;54377;54377;56383;56383;55671
1,linear,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,0.003996003996003996,0.026818249222249697,0.000999000999000999,0.011988011988011988,0.024656115540378925,0.1068931068931069,beam-sensitive candidate,20271010,20271214,51852;51852;59338;59338;44933;54377;54377;54377;54377;56383;56383;55671,51852;51852;59338;59338;44933;54377;54377;54377;54377;56383;56383;55671
2,none,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,0.01898101898101898,0.02875392180858839,0.03896103896103896,0.07992007992007992,0.034686555037455886,0.03496503496503497,local-only QA candidate,20267592,20267796,58881;58881;46696;46696;48029;48029;54100;54100;58069;58069,58881;58881;46696;46696;48029;48029;54100;54100;58069;58069
2,constant,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,0.01898101898101898,0.02875974900815634,0.03896103896103896,0.07992007992007992,0.03469622248318849,0.03496503496503497,local-only QA candidate,20267592,20267796,58881;58881;46696;46696;48029;48029;54100;54100;58069;58069,58881;58881;46696;46696;48029;48029;54100;54100;58069;58069
2,linear,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,0.01898101898101898,0.028753985378120694,0.03896103896103896,0.07992007992007992,0.03468640538707369,0.03496503496503497,local-only QA candidate,20267592,20267796,58881;58881;46696;46696;48029;48029;54100;54100;58069;58069,58881;58881;46696;46696;48029;48029;54100;54100;58069;58069
3,none,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,0.002997002997002997,0.03034927943642746,0.4935064935064935,0.002997002997002997,0.034877657347827204,0.5774225774225774,window-integrated candidate,20261227,20261431,57722,57722
3,constant,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,0.005994005994005994,0.030348142141566784,0.4945054945054945,0.003996003996003996,0.03486698131735559,0.5764235764235764,window-integrated candidate,20261227,20261431,57722,57722
3,linear,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,0.002997002997002997,0.030348640069162144,0.4935064935064935,0.002997002997002997,0.03487705799495972,0.5774225774225774,window-integrated candidate,20261227,20261431,57722,57722
4,none,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,0.001998001998001998,0.0312617424200368,0.5164835164835165,0.006993006993006993,0.039815944148688984,0.4985014985014985,window-integrated candidate,20261091,20261295,57722,57722
4,constant,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,0.001998001998001998,0.03126490158578509,0.5164835164835165,0.006993006993006993,0.03979988763938771,0.4985014985014985,window-integrated candidate,20261091,20261295,57722,57722
4,linear,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,0.001998001998001998,0.031261326576950396,0.5164835164835165,0.006993006993006993,0.03981525633746512,0.4985014985014985,window-integrated candidate,20261091,20261295,57722,57722
5,none,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,0.002997002997002997,0.034877657347827204,0.5774225774225774,0.002997002997002997,0.03034927943642746,0.4935064935064935,window-integrated candidate,20261431,20261227,57722,57722
5,constant,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,0.003996003996003996,0.03486698131735559,0.5764235764235764,0.005994005994005994,0.030348142141566784,0.4945054945054945,window-integrated candidate,20261431,20261227,57722,57722
5,linear,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,0.002997002997002997,0.03487705799495972,0.5774225774225774,0.002997002997002997,0.030348640069162144,0.4935064935064935,window-integrated candidate,20261431,20261227,57722,57722
