case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,doppler_mode,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class,primary_seed,paired_seed,seed
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.0,,linear,0.003996003996003996,0.026818249222249697,0.000999000999000999,0.011988011988011988,0.024656115540378925,0.1068931068931069,beam-sensitive candidate,20271010,20271214,1
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.0001,,linear,0.003996003996003996,0.026818593338659286,0.000999000999000999,0.011988011988011988,0.024656208290544962,0.1068931068931069,beam-sensitive candidate,20271010,20271214,1
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.001,,linear,0.003996003996003996,0.026822355658976612,0.000999000999000999,0.011988011988011988,0.02466334446623695,0.1068931068931069,beam-sensitive candidate,20271010,20271214,1
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.01,,linear,0.003996003996003996,0.026681522622377826,0.000999000999000999,0.011988011988011988,0.024568983239893784,0.1068931068931069,beam-sensitive candidate,20271010,20271214,1
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0,0.5,linear,0.003996003996003996,0.026818249222249697,0.000999000999000999,0.011988011988011988,0.024656115540378925,0.1068931068931069,beam-sensitive candidate,20271010,20271214,1
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0,1.0,linear,0.003996003996003996,0.026818249222249697,0.000999000999000999,0.011988011988011988,0.024656115540378925,0.1068931068931069,beam-sensitive candidate,20271010,20271214,1
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0,5.0,linear,0.003996003996003996,0.026818249222249697,0.000999000999000999,0.011988011988011988,0.024656115540378925,0.1068931068931069,beam-sensitive candidate,20271010,20271214,1
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0001,0.5,linear,0.003996003996003996,0.026820509727849908,0.000999000999000999,0.011988011988011988,0.024658323487548796,0.1068931068931069,beam-sensitive candidate,20271010,20271214,1
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0001,1.0,linear,0.003996003996003996,0.026819922407537344,0.000999000999000999,0.011988011988011988,0.02465751577850778,0.1068931068931069,beam-sensitive candidate,20271010,20271214,1
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0001,5.0,linear,0.003996003996003996,0.0268166877747679,0.000999000999000999,0.011988011988011988,0.024655193541452233,0.1068931068931069,beam-sensitive candidate,20271010,20271214,1
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.001,0.5,linear,0.003996003996003996,0.026796540596230056,0.000999000999000999,0.011988011988011988,0.02463841621061624,0.1068931068931069,beam-sensitive candidate,20271010,20271214,1
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.001,1.0,linear,0.003996003996003996,0.026823262833716707,0.000999000999000999,0.011988011988011988,0.02466214837779233,0.1068931068931069,beam-sensitive candidate,20271010,20271214,1
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.001,5.0,linear,0.003996003996003996,0.026839651122143572,0.000999000999000999,0.011988011988011988,0.024673311096689087,0.1068931068931069,beam-sensitive candidate,20271010,20271214,1
