case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,doppler_mode,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class,primary_seed,paired_seed,seed
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.0,,linear,0.003996003996003996,0.026818249222249697,0.000999000999000999,0.011988011988011988,0.024656115540378925,0.1068931068931069,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.0001,,linear,0.003996003996003996,0.026819004517662833,0.000999000999000999,0.011988011988011988,0.024656708860455283,0.1068931068931069,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.001,,linear,0.003996003996003996,0.02683008364050048,0.000999000999000999,0.011988011988011988,0.02466563936844681,0.1068931068931069,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.01,,linear,0.003996003996003996,0.02693757669370318,0.000999000999000999,0.011988011988011988,0.0247738047622289,0.1048951048951049,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0,0.5,linear,0.003996003996003996,0.026818249222249697,0.000999000999000999,0.011988011988011988,0.024656115540378925,0.1068931068931069,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0,1.0,linear,0.003996003996003996,0.026818249222249697,0.000999000999000999,0.011988011988011988,0.024656115540378925,0.1068931068931069,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0,5.0,linear,0.003996003996003996,0.026818249222249697,0.000999000999000999,0.011988011988011988,0.024656115540378925,0.1068931068931069,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0001,0.5,linear,0.003996003996003996,0.026820956126936506,0.000999000999000999,0.011988011988011988,0.024657803637788262,0.1068931068931069,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0001,1.0,linear,0.003996003996003996,0.026818515608496536,0.000999000999000999,0.011988011988011988,0.024656150374380396,0.1068931068931069,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0001,5.0,linear,0.003996003996003996,0.026817948289811176,0.000999000999000999,0.011988011988011988,0.02465559083227238,0.1068931068931069,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.001,0.5,linear,0.003996003996003996,0.026796741969796447,0.000999000999000999,0.011988011988011988,0.024637585085700596,0.1068931068931069,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.001,1.0,linear,0.003996003996003996,0.026813753980488932,0.000999000999000999,0.011988011988011988,0.024652882059387475,0.1068931068931069,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.001,5.0,linear,0.003996003996003996,0.0268244402822498,0.000999000999000999,0.011988011988011988,0.024660497561664697,0.1068931068931069,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,0.5,linear,0.003996003996003996,0.02671477778547338,0.000999000999000999,0.011988011988011988,0.024581280179142382,0.10589410589410589,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,1.0,linear,0.003996003996003996,0.026959723820593088,0.000999000999000999,0.011988011988011988,0.024742450201188915,0.10789210789210789,beam-sensitive candidate,20271010,20271214,10
1,82_0,typical,18,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,5.0,linear,0.003996003996003996,0.02664828718894891,0.000999000999000999,0.013986013986013986,0.02454231843177064,0.1068931068931069,beam-sensitive candidate,20271010,20271214,10
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,white,0.0,,linear,0.01898101898101898,0.028753985378120694,0.03896103896103896,0.07992007992007992,0.03468640538707369,0.03496503496503497,local-only QA candidate,20267592,20267796,10
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,white,0.0001,,linear,0.01898101898101898,0.028753416528669112,0.03896103896103896,0.07992007992007992,0.0346861152742327,0.03496503496503497,local-only QA candidate,20267592,20267796,10
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,white,0.001,,linear,0.01898101898101898,0.028757234551555173,0.03896103896103896,0.08091908091908091,0.034686981192368474,0.03496503496503497,local-only QA candidate,20267592,20267796,10
