morphology,injection_mode,qa_null_positive,threshold,n,count,probability
bursty,a_only,False,Z_PS>1,75,6,0.08
bursty,a_only,False,Z_PS>2,75,3,0.04
bursty,a_only,False,Z_PS>3,75,0,0.0
bursty,coherent_ab,False,Z_PS>1,75,1,0.013333333333333334
bursty,coherent_ab,False,Z_PS>2,75,1,0.013333333333333334
bursty,coherent_ab,False,Z_PS>3,75,0,0.0
literature_lofar_khz_comb,a_only,False,Z_PS>1,55,1,0.01818181818181818
literature_lofar_khz_comb,a_only,False,Z_PS>2,55,1,0.01818181818181818
literature_lofar_khz_comb,a_only,False,Z_PS>3,55,0,0.0
literature_lofar_khz_comb,a_only,True,Z_PS>1,20,0,0.0
literature_lofar_khz_comb,a_only,True,Z_PS>2,20,0,0.0
literature_lofar_khz_comb,a_only,True,Z_PS>3,20,0,0.0
literature_lofar_khz_comb,coherent_ab,False,Z_PS>1,55,11,0.2
literature_lofar_khz_comb,coherent_ab,False,Z_PS>2,55,2,0.03636363636363636
literature_lofar_khz_comb,coherent_ab,False,Z_PS>3,55,0,0.0
literature_lofar_khz_comb,coherent_ab,True,Z_PS>1,20,0,0.0
literature_lofar_khz_comb,coherent_ab,True,Z_PS>2,20,0,0.0
literature_lofar_khz_comb,coherent_ab,True,Z_PS>3,20,0,0.0
literature_lofar_lines,a_only,False,Z_PS>1,55,1,0.01818181818181818
literature_lofar_lines,a_only,False,Z_PS>2,55,1,0.01818181818181818
literature_lofar_lines,a_only,False,Z_PS>3,55,0,0.0
literature_lofar_lines,a_only,True,Z_PS>1,20,0,0.0
literature_lofar_lines,a_only,True,Z_PS>2,20,0,0.0
literature_lofar_lines,a_only,True,Z_PS>3,20,0,0.0
literature_lofar_lines,coherent_ab,False,Z_PS>1,55,12,0.21818181818181817
literature_lofar_lines,coherent_ab,False,Z_PS>2,55,3,0.05454545454545454
literature_lofar_lines,coherent_ab,False,Z_PS>3,55,0,0.0
literature_lofar_lines,coherent_ab,True,Z_PS>1,20,0,0.0
literature_lofar_lines,coherent_ab,True,Z_PS>2,20,0,0.0
literature_lofar_lines,coherent_ab,True,Z_PS>3,20,0,0.0
smooth,a_only,False,Z_PS>1,75,1,0.013333333333333334
smooth,a_only,False,Z_PS>2,75,1,0.013333333333333334
smooth,a_only,False,Z_PS>3,75,0,0.0
smooth,coherent_ab,False,Z_PS>1,75,12,0.16
smooth,coherent_ab,False,Z_PS>2,75,3,0.04
smooth,coherent_ab,False,Z_PS>3,75,0,0.0
