subset_label,baseline_id,baseline_class,lst_stratum,lst_bin_id,lst_start,lst_end,n_tle_records,n_sat_visible_center,n_sat_visible_any_bin,n_sat_visible_peak_bin,n_sat_peak_visible,beam_weighted_sat_exposure_center,beam_weighted_sat_exposure_bin_mean,max_sat_beam_response_center,max_sat_beam_response_bin
first1200,0_1,short,quiet,17,2461041.6180555555,2461041.624878509,1200,0,2,2,2,0.0,0.10387825415428084,0.0,0.10330885269545009
first1200,0_1,short,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.007024981219024103,0.0,0.013470461625190272
first1200,0_1,short,stress,0,2461041.5,2461041.506822953,1200,1,4,4,4,0.33087588566844983,0.00977651240760884,0.33087588566844983,0.010955051349662055
first1200,0_197,mid,quiet,22,2461041.652777778,2461041.6596007315,1200,0,3,3,3,0.0,0.12304256102040147,0.0,0.12295632724432037
first1200,0_197,mid,typical,36,2461041.75,2461041.756822953,1200,0,4,4,4,0.0,0.9164219276222791,0.0,0.5262717886687952
first1200,0_197,mid,stress,0,2461041.5,2461041.506822953,1200,1,4,4,4,0.33087588566844983,0.00977651240760884,0.33087588566844983,0.010955051349662055
first1200,11_10,mid,quiet,16,2461041.611111111,2461041.6179340645,1200,0,2,2,2,0.0,0.0002729162603241548,0.0,0.00023750573133048675
first1200,11_10,mid,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.007024981219024103,0.0,0.013470461625190272
first1200,11_10,mid,stress,64,2461041.9444444445,2461041.951267397,1200,0,2,2,2,0.0,0.11290338361501762,0.0,0.09311241801387957
first1200,157_146,mid,quiet,16,2461041.611111111,2461041.6179340645,1200,0,2,2,2,0.0,0.0002729162603241548,0.0,0.00023750573133048675
first1200,157_146,mid,typical,46,2461041.8194444445,2461041.826267397,1200,0,2,2,2,0.0,0.2352900658945563,0.0,0.16704949391519747
first1200,157_146,mid,stress,0,2461041.5,2461041.506822953,1200,1,4,4,4,0.33087588566844983,0.00977651240760884,0.33087588566844983,0.010955051349662055
first1200,159_76,mid,quiet,22,2461041.652777778,2461041.6596007315,1200,0,3,3,3,0.0,0.12304256102040147,0.0,0.12295632724432037
first1200,159_76,mid,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.007024981219024103,0.0,0.013470461625190272
first1200,159_76,mid,stress,0,2461041.5,2461041.506822953,1200,1,4,4,4,0.33087588566844983,0.00977651240760884,0.33087588566844983,0.010955051349662055
first1200,23_80,long,quiet,48,2461041.833333333,2461041.8401562865,1200,0,2,2,2,0.0,0.0012610864631926299,0.0,0.0009215201181205949
first1200,23_80,long,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.007024981219024103,0.0,0.013470461625190272
first1200,23_80,long,stress,0,2461041.5,2461041.506822953,1200,1,4,4,4,0.33087588566844983,0.00977651240760884,0.33087588566844983,0.010955051349662055
first1200,4_196,long,quiet,48,2461041.833333333,2461041.8401562865,1200,0,2,2,2,0.0,0.0012610864631926299,0.0,0.0009215201181205949
first1200,4_196,long,typical,53,2461041.8680555555,2461041.8748785085,1200,1,3,3,3,0.0023396773596836536,0.5382980728979594,0.0023396773596836536,0.5352753799169744
first1200,4_196,long,stress,0,2461041.5,2461041.506822953,1200,1,4,4,4,0.33087588566844983,0.00977651240760884,0.33087588566844983,0.010955051349662055
first1200,4_76,mid,quiet,17,2461041.6180555555,2461041.624878509,1200,0,2,2,2,0.0,0.10387825415428084,0.0,0.10330885269545009
first1200,4_76,mid,typical,33,2461041.7291666665,2461041.73598962,1200,0,4,4,4,0.0,0.43173268128957304,0.0,0.3765650473553334
first1200,4_76,mid,stress,0,2461041.5,2461041.506822953,1200,1,4,4,4,0.33087588566844983,0.00977651240760884,0.33087588566844983,0.010955051349662055
first1200,82_0,mid,quiet,17,2461041.6180555555,2461041.624878509,1200,0,2,2,2,0.0,0.10387825415428084,0.0,0.10330885269545009
first1200,82_0,mid,typical,18,2461041.625,2461041.631822953,1200,0,3,3,3,0.0,0.08604156895129685,0.0,0.06273459786037083
first1200,82_0,mid,stress,64,2461041.9444444445,2461041.951267397,1200,0,2,2,2,0.0,0.11290338361501762,0.0,0.09311241801387957
all_available,0_1,short,quiet,17,2461041.6180555555,2461041.624878509,6364,1,23,23,23,0.008096226670176508,3.5048956251999135,0.008096226670176508,0.9461379402450565
all_available,0_1,short,typical,44,2461041.8055555555,2461041.8123785085,6364,0,15,15,15,0.0,1.2259218808028003,0.0,0.7077907798211804
all_available,0_1,short,stress,0,2461041.5,2461041.506822953,6364,3,17,17,17,0.7683128049796175,1.395662050943528,0.42228175153810654,0.7656232791366961
all_available,0_197,mid,quiet,22,2461041.652777778,2461041.6596007315,6364,2,20,20,20,0.19824922963605393,2.056663871934312,0.19809391524236497,0.7562072105271238
all_available,0_197,mid,typical,36,2461041.75,2461041.756822953,6364,0,21,21,21,0.0,3.3364532852300544,0.0,0.9720643088453184
all_available,0_197,mid,stress,0,2461041.5,2461041.506822953,6364,3,17,17,17,0.7683128049796175,1.395662050943528,0.42228175153810654,0.7656232791366961
all_available,11_10,mid,quiet,16,2461041.611111111,2461041.6179340645,6364,1,19,19,19,2.4784820425230233e-05,1.0922539160905718,2.4784820425230233e-05,0.30953462086679684
all_available,11_10,mid,typical,44,2461041.8055555555,2461041.8123785085,6364,0,15,15,15,0.0,1.2259218808028003,0.0,0.7077907798211804
all_available,11_10,mid,stress,64,2461041.9444444445,2461041.951267397,6364,0,13,13,13,0.0,1.8879549574397791,0.0,0.7802811806583916
all_available,157_146,mid,quiet,16,2461041.611111111,2461041.6179340645,6364,1,19,19,19,2.4784820425230233e-05,1.0922539160905718,2.4784820425230233e-05,0.30953462086679684
all_available,157_146,mid,typical,46,2461041.8194444445,2461041.826267397,6364,1,23,23,23,0.00031396116005887796,2.0582498045258135,0.00031396116005887796,0.531986276636109
all_available,157_146,mid,stress,0,2461041.5,2461041.506822953,6364,3,17,17,17,0.7683128049796175,1.395662050943528,0.42228175153810654,0.7656232791366961
all_available,159_76,mid,quiet,22,2461041.652777778,2461041.6596007315,6364,2,20,20,20,0.19824922963605393,2.056663871934312,0.19809391524236497,0.7562072105271238
all_available,159_76,mid,typical,44,2461041.8055555555,2461041.8123785085,6364,0,15,15,15,0.0,1.2259218808028003,0.0,0.7077907798211804
all_available,159_76,mid,stress,0,2461041.5,2461041.506822953,6364,3,17,17,17,0.7683128049796175,1.395662050943528,0.42228175153810654,0.7656232791366961
all_available,23_80,long,quiet,48,2461041.833333333,2461041.8401562865,6364,1,21,21,21,8.057650932090844e-05,1.8501343155207097,8.057650932090844e-05,0.859162077620023
all_available,23_80,long,typical,44,2461041.8055555555,2461041.8123785085,6364,0,15,15,15,0.0,1.2259218808028003,0.0,0.7077907798211804
all_available,23_80,long,stress,0,2461041.5,2461041.506822953,6364,3,17,17,17,0.7683128049796175,1.395662050943528,0.42228175153810654,0.7656232791366961
all_available,4_196,long,quiet,48,2461041.833333333,2461041.8401562865,6364,1,21,21,21,8.057650932090844e-05,1.8501343155207097,8.057650932090844e-05,0.859162077620023
all_available,4_196,long,typical,53,2461041.8680555555,2461041.8748785085,6364,3,26,26,26,0.7137791525227042,3.8703836845387385,0.7113343055922511,0.8138263678950879
all_available,4_196,long,stress,0,2461041.5,2461041.506822953,6364,3,17,17,17,0.7683128049796175,1.395662050943528,0.42228175153810654,0.7656232791366961
all_available,4_76,mid,quiet,17,2461041.6180555555,2461041.624878509,6364,1,23,23,23,0.008096226670176508,3.5048956251999135,0.008096226670176508,0.9461379402450565
all_available,4_76,mid,typical,33,2461041.7291666665,2461041.73598962,6364,1,25,25,25,0.00015693006886354752,3.5141572389316202,0.00015693006886354752,0.9626251670072493
all_available,4_76,mid,stress,0,2461041.5,2461041.506822953,6364,3,17,17,17,0.7683128049796175,1.395662050943528,0.42228175153810654,0.7656232791366961
all_available,82_0,mid,quiet,17,2461041.6180555555,2461041.624878509,6364,1,23,23,23,0.008096226670176508,3.5048956251999135,0.008096226670176508,0.9461379402450565
all_available,82_0,mid,typical,18,2461041.625,2461041.631822953,6364,0,18,18,18,0.0,0.9119053711434386,0.0,0.4726437737334956
all_available,82_0,mid,stress,64,2461041.9444444445,2461041.951267397,6364,0,13,13,13,0.0,1.8879549574397791,0.0,0.7802811806583916
random1200_seed20260618,0_1,short,quiet,17,2461041.6180555555,2461041.624878509,1200,0,5,5,5,0.0,0.09300324778540497,0.0,0.07631834555617156
random1200_seed20260618,0_1,short,typical,44,2461041.8055555555,2461041.8123785085,1200,0,3,3,3,0.0,0.014757078009498124,0.0,0.013470461625190272
random1200_seed20260618,0_1,short,stress,0,2461041.5,2461041.506822953,1200,1,3,3,3,0.015155167773061137,0.4664052813141107,0.015155167773061137,0.45992041780084786
random1200_seed20260618,0_197,mid,quiet,22,2461041.652777778,2461041.6596007315,1200,0,2,2,2,0.0,0.7666275052669371,0.0,0.7562072105271238
random1200_seed20260618,0_197,mid,typical,36,2461041.75,2461041.756822953,1200,0,5,5,5,0.0,0.8536223399459045,0.0,0.4664515346270015
random1200_seed20260618,0_197,mid,stress,0,2461041.5,2461041.506822953,1200,1,3,3,3,0.015155167773061137,0.4664052813141107,0.015155167773061137,0.45992041780084786
random1200_seed20260618,11_10,mid,quiet,16,2461041.611111111,2461041.6179340645,1200,1,5,5,5,2.4784820425230233e-05,0.3479666144975053,2.4784820425230233e-05,0.25635856370718313
random1200_seed20260618,11_10,mid,typical,44,2461041.8055555555,2461041.8123785085,1200,0,3,3,3,0.0,0.014757078009498124,0.0,0.013470461625190272
random1200_seed20260618,11_10,mid,stress,64,2461041.9444444445,2461041.951267397,1200,0,3,3,3,0.0,0.05700934123153316,0.0,0.03716509123544369
random1200_seed20260618,157_146,mid,quiet,16,2461041.611111111,2461041.6179340645,1200,1,5,5,5,2.4784820425230233e-05,0.3479666144975053,2.4784820425230233e-05,0.25635856370718313
random1200_seed20260618,157_146,mid,typical,46,2461041.8194444445,2461041.826267397,1200,0,6,6,6,0.0,0.7987639137560092,0.0,0.5137068637130856
random1200_seed20260618,157_146,mid,stress,0,2461041.5,2461041.506822953,1200,1,3,3,3,0.015155167773061137,0.4664052813141107,0.015155167773061137,0.45992041780084786
random1200_seed20260618,159_76,mid,quiet,22,2461041.652777778,2461041.6596007315,1200,0,2,2,2,0.0,0.7666275052669371,0.0,0.7562072105271238
random1200_seed20260618,159_76,mid,typical,44,2461041.8055555555,2461041.8123785085,1200,0,3,3,3,0.0,0.014757078009498124,0.0,0.013470461625190272
random1200_seed20260618,159_76,mid,stress,0,2461041.5,2461041.506822953,1200,1,3,3,3,0.015155167773061137,0.4664052813141107,0.015155167773061137,0.45992041780084786
random1200_seed20260618,23_80,long,quiet,48,2461041.833333333,2461041.8401562865,1200,1,6,6,6,8.057650932090844e-05,0.722882040520331,8.057650932090844e-05,0.38635161730340273
random1200_seed20260618,23_80,long,typical,44,2461041.8055555555,2461041.8123785085,1200,0,3,3,3,0.0,0.014757078009498124,0.0,0.013470461625190272
random1200_seed20260618,23_80,long,stress,0,2461041.5,2461041.506822953,1200,1,3,3,3,0.015155167773061137,0.4664052813141107,0.015155167773061137,0.45992041780084786
random1200_seed20260618,4_196,long,quiet,48,2461041.833333333,2461041.8401562865,1200,1,6,6,6,8.057650932090844e-05,0.722882040520331,8.057650932090844e-05,0.38635161730340273
random1200_seed20260618,4_196,long,typical,53,2461041.8680555555,2461041.8748785085,1200,1,5,5,5,0.00010516957076944772,0.3480108714449567,0.00010516957076944772,0.2750719769996143
random1200_seed20260618,4_196,long,stress,0,2461041.5,2461041.506822953,1200,1,3,3,3,0.015155167773061137,0.4664052813141107,0.015155167773061137,0.45992041780084786
random1200_seed20260618,4_76,mid,quiet,17,2461041.6180555555,2461041.624878509,1200,0,5,5,5,0.0,0.09300324778540497,0.0,0.07631834555617156
random1200_seed20260618,4_76,mid,typical,33,2461041.7291666665,2461041.73598962,1200,0,6,6,6,0.0,2.0825945231016334,0.0,0.9626251670072493
random1200_seed20260618,4_76,mid,stress,0,2461041.5,2461041.506822953,1200,1,3,3,3,0.015155167773061137,0.4664052813141107,0.015155167773061137,0.45992041780084786
random1200_seed20260618,82_0,mid,quiet,17,2461041.6180555555,2461041.624878509,1200,0,5,5,5,0.0,0.09300324778540497,0.0,0.07631834555617156
random1200_seed20260618,82_0,mid,typical,18,2461041.625,2461041.631822953,1200,0,4,4,4,0.0,0.03297838700622887,0.0,0.03253051318374956
random1200_seed20260618,82_0,mid,stress,64,2461041.9444444445,2461041.951267397,1200,0,3,3,3,0.0,0.05700934123153316,0.0,0.03716509123544369
random1200_seed20260619,0_1,short,quiet,17,2461041.6180555555,2461041.624878509,1200,0,3,3,3,0.0,0.00228450367495809,0.0,0.002716617521025677
random1200_seed20260619,0_1,short,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.006413763220876062,0.0,0.006170426308693386
random1200_seed20260619,0_1,short,stress,0,2461041.5,2461041.506822953,1200,1,2,2,2,0.42228175153810654,0.007102602673256907,0.42228175153810654,0.010955051349662055
random1200_seed20260619,0_197,mid,quiet,22,2461041.652777778,2461041.6596007315,1200,0,4,4,4,0.0,0.0751336850325525,0.0,0.052517614164634005
random1200_seed20260619,0_197,mid,typical,36,2461041.75,2461041.756822953,1200,0,6,6,6,0.0,0.9136500914980098,0.0,0.5262717886687952
random1200_seed20260619,0_197,mid,stress,0,2461041.5,2461041.506822953,1200,1,2,2,2,0.42228175153810654,0.007102602673256907,0.42228175153810654,0.010955051349662055
random1200_seed20260619,11_10,mid,quiet,16,2461041.611111111,2461041.6179340645,1200,0,3,3,3,0.0,0.0029660033515950188,0.0,0.0025170066543813868
random1200_seed20260619,11_10,mid,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.006413763220876062,0.0,0.006170426308693386
random1200_seed20260619,11_10,mid,stress,64,2461041.9444444445,2461041.951267397,1200,0,1,1,1,0.0,0.7317158724347791,0.0,0.7317158724347791
random1200_seed20260619,157_146,mid,quiet,16,2461041.611111111,2461041.6179340645,1200,0,3,3,3,0.0,0.0029660033515950188,0.0,0.0025170066543813868
random1200_seed20260619,157_146,mid,typical,46,2461041.8194444445,2461041.826267397,1200,0,5,5,5,0.0,0.4186888100459892,0.0,0.3798752563688669
random1200_seed20260619,157_146,mid,stress,0,2461041.5,2461041.506822953,1200,1,2,2,2,0.42228175153810654,0.007102602673256907,0.42228175153810654,0.010955051349662055
random1200_seed20260619,159_76,mid,quiet,22,2461041.652777778,2461041.6596007315,1200,0,4,4,4,0.0,0.0751336850325525,0.0,0.052517614164634005
random1200_seed20260619,159_76,mid,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.006413763220876062,0.0,0.006170426308693386
random1200_seed20260619,159_76,mid,stress,0,2461041.5,2461041.506822953,1200,1,2,2,2,0.42228175153810654,0.007102602673256907,0.42228175153810654,0.010955051349662055
random1200_seed20260619,23_80,long,quiet,48,2461041.833333333,2461041.8401562865,1200,0,5,5,5,0.0,0.27249843073560837,0.0,0.21299362217052406
random1200_seed20260619,23_80,long,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.006413763220876062,0.0,0.006170426308693386
random1200_seed20260619,23_80,long,stress,0,2461041.5,2461041.506822953,1200,1,2,2,2,0.42228175153810654,0.007102602673256907,0.42228175153810654,0.010955051349662055
random1200_seed20260619,4_196,long,quiet,48,2461041.833333333,2461041.8401562865,1200,0,5,5,5,0.0,0.27249843073560837,0.0,0.21299362217052406
random1200_seed20260619,4_196,long,typical,53,2461041.8680555555,2461041.8748785085,1200,0,5,5,5,0.0,0.3842845745947252,0.0,0.30683476161329126
random1200_seed20260619,4_196,long,stress,0,2461041.5,2461041.506822953,1200,1,2,2,2,0.42228175153810654,0.007102602673256907,0.42228175153810654,0.010955051349662055
random1200_seed20260619,4_76,mid,quiet,17,2461041.6180555555,2461041.624878509,1200,0,3,3,3,0.0,0.00228450367495809,0.0,0.002716617521025677
random1200_seed20260619,4_76,mid,typical,33,2461041.7291666665,2461041.73598962,1200,0,7,7,7,0.0,0.2333649216099056,0.0,0.2240806963963803
random1200_seed20260619,4_76,mid,stress,0,2461041.5,2461041.506822953,1200,1,2,2,2,0.42228175153810654,0.007102602673256907,0.42228175153810654,0.010955051349662055
random1200_seed20260619,82_0,mid,quiet,17,2461041.6180555555,2461041.624878509,1200,0,3,3,3,0.0,0.00228450367495809,0.0,0.002716617521025677
random1200_seed20260619,82_0,mid,typical,18,2461041.625,2461041.631822953,1200,0,2,2,2,0.0,0.02834142252834474,0.0,0.028034494294777224
random1200_seed20260619,82_0,mid,stress,64,2461041.9444444445,2461041.951267397,1200,0,1,1,1,0.0,0.7317158724347791,0.0,0.7317158724347791
