case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,doppler_mode,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class,primary_seed,paired_seed,seed
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.0,,linear,0.011988011988011988,0.7552582911202382,0.012987012987012988,0.3926073926073926,1.1222509766258886,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.0001,,linear,0.011988011988011988,0.7552528011815305,0.012987012987012988,0.3926073926073926,1.1222470324976523,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.001,,linear,0.011988011988011988,0.7552957864528582,0.012987012987012988,0.3916083916083916,1.1223387390844168,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,white,0.01,,linear,0.011988011988011988,0.7546299375218342,0.012987012987012988,0.3856143856143856,1.1212105151731857,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0,0.5,linear,0.011988011988011988,0.7552582911202382,0.012987012987012988,0.3926073926073926,1.1222509766258886,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0,1.0,linear,0.011988011988011988,0.7552582911202382,0.012987012987012988,0.3926073926073926,1.1222509766258886,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0,5.0,linear,0.011988011988011988,0.7552582911202382,0.012987012987012988,0.3926073926073926,1.1222509766258886,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0001,0.5,linear,0.011988011988011988,0.7552755711731897,0.012987012987012988,0.3926073926073926,1.1222765339711693,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0001,1.0,linear,0.011988011988011988,0.755240105764109,0.012987012987012988,0.3906093906093906,1.122226821015924,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.0001,5.0,linear,0.011988011988011988,0.7552590624515553,0.012987012987012988,0.3916083916083916,1.122246974384529,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.001,0.5,linear,0.011988011988011988,0.7552544896753974,0.012987012987012988,0.3946053946053946,1.1221821375535228,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.001,1.0,linear,0.011988011988011988,0.7553025393057701,0.012987012987012988,0.3886113886113886,1.12226880887822,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.001,5.0,linear,0.011988011988011988,0.7553642869718052,0.012987012987012988,0.3916083916083916,1.122364261776145,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,0.5,linear,0.011988011988011988,0.7559990681657395,0.012987012987012988,0.3756243756243756,1.1235212978967115,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,1.0,linear,0.011988011988011988,0.7540021603602913,0.012987012987012988,0.3926073926073926,1.1202744023022915,0.004995004995004995,local-only QA candidate,20269202,20269610,10
1,157_146,typical,46,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,smooth,0.01,5.0,linear,0.011988011988011988,0.7568999087498045,0.012987012987012988,0.3936063936063936,1.124390576419462,0.004995004995004995,local-only QA candidate,20269202,20269610,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,white,0.0,,linear,0.005994005994005994,0.011585098101513324,0.3876123876123876,0.003996003996003996,0.009120840232557468,0.4255744255744256,window-integrated candidate,20262077,20261669,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,white,0.0001,,linear,0.005994005994005994,0.011585210697633918,0.3876123876123876,0.003996003996003996,0.009120950900038187,0.4255744255744256,window-integrated candidate,20262077,20261669,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,white,0.001,,linear,0.005994005994005994,0.011584995509696001,0.3876123876123876,0.003996003996003996,0.009120970352990901,0.4255744255744256,window-integrated candidate,20262077,20261669,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,white,0.01,,linear,0.005994005994005994,0.01158305312494097,0.3876123876123876,0.003996003996003996,0.009116098479792951,0.4305694305694306,window-integrated candidate,20262077,20261669,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,smooth,0.0,0.5,linear,0.005994005994005994,0.011585098101513324,0.3876123876123876,0.003996003996003996,0.009120840232557468,0.4255744255744256,window-integrated candidate,20262077,20261669,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,smooth,0.0,1.0,linear,0.005994005994005994,0.011585098101513324,0.3876123876123876,0.003996003996003996,0.009120840232557468,0.4255744255744256,window-integrated candidate,20262077,20261669,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,smooth,0.0,5.0,linear,0.005994005994005994,0.011585098101513324,0.3876123876123876,0.003996003996003996,0.009120840232557468,0.4255744255744256,window-integrated candidate,20262077,20261669,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,smooth,0.0001,0.5,linear,0.005994005994005994,0.011584995847434347,0.3876123876123876,0.003996003996003996,0.009120770373398908,0.4255744255744256,window-integrated candidate,20262077,20261669,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,smooth,0.0001,1.0,linear,0.005994005994005994,0.01158493952810365,0.3876123876123876,0.003996003996003996,0.00912074639455973,0.4255744255744256,window-integrated candidate,20262077,20261669,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,smooth,0.0001,5.0,linear,0.005994005994005994,0.011585137335296376,0.3876123876123876,0.003996003996003996,0.009120867955111236,0.4255744255744256,window-integrated candidate,20262077,20261669,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,smooth,0.001,0.5,linear,0.005994005994005994,0.01158529359112384,0.3876123876123876,0.003996003996003996,0.009120222891053216,0.42857142857142855,window-integrated candidate,20262077,20261669,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,smooth,0.001,1.0,linear,0.005994005994005994,0.011583659884656594,0.3876123876123876,0.003996003996003996,0.009120320313222144,0.4305694305694306,window-integrated candidate,20262077,20261669,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,smooth,0.001,5.0,linear,0.005994005994005994,0.011585811377614138,0.3876123876123876,0.003996003996003996,0.009121268554333688,0.4275724275724276,window-integrated candidate,20262077,20261669,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,smooth,0.01,0.5,linear,0.005994005994005994,0.011570051185030494,0.3906093906093906,0.003996003996003996,0.009109872253696118,0.42657342657342656,window-integrated candidate,20262077,20261669,10
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,smooth,0.01,1.0,linear,0.005994005994005994,0.011596405601652971,0.3866133866133866,0.003996003996003996,0.009127548842338108,0.4225774225774226,window-integrated candidate,20262077,20261669,10
