case_id,background_index,background_id,source_uvh5,lst_stratum,lst_bin_id,native_baseline_id,baseline_id,baseline_length_m,beam_model,beam_description,morphology,s_ref_jy,height_km,az_transit_deg,za_peak_deg,n_null,pte_global_max,pte_global_absint,relative_abs_bias,z_ps_max,window_abs_bias_sum,window_bg_abs_sum,n_null_exceed_max,n_null_exceed_absint,strict_local_physical_1e3,strict_absint_physical_1e3,physical_1e2,window_bins,peak_abs_jy,mean_abs_jy,tau_min_ns,tau_max_ns,attenuation_median,attenuation_max,seed
za5_bg0_b14.6_full_polybeam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_14.6m,14.6,full_polybeam,full-chromatic HERA H2C CST PolyBeam,smooth,300.0,550.0,90.0,5.0,100,0.1485148514851485,0.32673267326732675,0.02255536526022229,1.7256204026898245,74790114.22930299,3315845847.160797,14,32,False,False,True,1481,114.52657797177302,2.986134855473855,-12.817313476391787,-4.2495936886838654,0.9976125739741524,0.9999980798690115,20260714
za5_bg0_b14.6_unity_beam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_14.6m,14.6,unity_beam,B=1 geometry-only diagnostic,smooth,300.0,550.0,90.0,5.0,100,0.4158415841584158,0.45544554455445546,0.1379706457593135,0.17918092271671426,457489392.77111316,3315845847.160797,41,45,False,False,True,1481,297.7126543126041,24.744982308306085,-12.817313476391787,-4.2495936886838654,0.9976125739741524,0.9999980798690115,20260715
za15_bg0_b14.6_full_polybeam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_14.6m,14.6,full_polybeam,full-chromatic HERA H2C CST PolyBeam,smooth,300.0,550.0,90.0,15.0,100,0.19801980198019803,0.3465346534653465,0.0027567508190443823,1.1711494855640627,9140960.75498544,3315845847.160797,19,34,False,False,False,1481,9.966593648292939,0.21278610185256233,-17.021263525630758,-12.60611874327281,0.9994295928276925,0.9999959678355693,20260716
za15_bg0_b14.6_unity_beam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_14.6m,14.6,unity_beam,B=1 geometry-only diagnostic,smooth,300.0,550.0,90.0,15.0,100,0.42574257425742573,0.7722772277227723,0.15002448031151083,0.09454358434394276,497458050.01337993,3315845847.160797,42,77,False,False,True,1481,279.89719263997074,23.30029009905154,-17.021263525630758,-12.60611874327281,0.9994295928276925,0.9999959678355693,20260717
za30_bg0_b14.6_full_polybeam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_14.6m,14.6,full_polybeam,full-chromatic HERA H2C CST PolyBeam,smooth,300.0,550.0,90.0,30.0,100,0.5742574257425742,0.6435643564356436,0.0005058794003371526,-0.44554829441494925,1677418.1087721419,3315845847.160797,57,64,False,False,False,1481,0.6245196017382174,0.038752640198731515,-25.9917078816698,-24.350696509126234,0.9999094782888474,0.9999854503464222,20260718
za30_bg0_b14.6_unity_beam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_14.6m,14.6,unity_beam,B=1 geometry-only diagnostic,smooth,300.0,550.0,90.0,30.0,100,0.7524752475247525,0.25742574257425743,0.2369089383885567,-0.7387731285503507,785553519.5109689,3315845847.160797,75,25,False,False,True,1481,224.99213723688385,18.70844484192651,-25.9917078816698,-24.350696509126234,0.9999094782888474,0.9999854503464222,20260719
za45_bg0_b14.6_full_polybeam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_14.6m,14.6,full_polybeam,full-chromatic HERA H2C CST PolyBeam,smooth,300.0,550.0,90.0,45.0,100,0.3465346534653465,0.06930693069306931,0.00032914650669697317,0.19863588496107396,1091399.077338642,3315845847.160797,34,6,False,False,False,1481,0.4947082715738695,0.01966659932819566,-34.64567432382269,-34.436439965313184,0.9999694204254479,0.9999709324917578,20260720
za45_bg0_b14.6_unity_beam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_14.6m,14.6,unity_beam,B=1 geometry-only diagnostic,smooth,300.0,550.0,90.0,45.0,100,0.7623762376237624,0.07920792079207921,0.17428150489691746,-0.6835231533259061,577890604.2493778,3315845847.160797,76,7,False,False,True,1481,149.99212177777153,12.423588521148533,-34.64567432382269,-34.436439965313184,0.9999694204254479,0.9999709324917578,20260721
za60_bg0_b14.6_full_polybeam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_14.6m,14.6,full_polybeam,full-chromatic HERA H2C CST PolyBeam,smooth,300.0,550.0,90.0,60.0,100,0.36633663366336633,0.693069306930693,5.168389647293557e-05,0.5582181181956657,171375.83348487198,3315845847.160797,36,69,False,False,False,1481,0.09765964970109316,0.003736592588737678,-42.1755728338931,-41.47539682245902,0.9999448875667662,0.9999563983982934,20260722
za60_bg0_b14.6_unity_beam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_14.6m,14.6,unity_beam,B=1 geometry-only diagnostic,smooth,300.0,550.0,90.0,60.0,100,0.22772277227722773,0.12871287128712872,0.08247078441672685,2.541155476045873,273460408.0202971,3315845847.160797,22,12,False,False,True,1481,74.99444434926143,6.156082799576147,-42.1755728338931,-41.47539682245902,0.9999448875667662,0.9999563983982934,20260723
za70_bg0_b14.6_full_polybeam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_14.6m,14.6,full_polybeam,full-chromatic HERA H2C CST PolyBeam,smooth,300.0,550.0,90.0,70.0,100,0.693069306930693,0.38613861386138615,1.3005477686055687e-05,-0.5214390748399196,43124.159175650166,3315845847.160797,69,38,False,False,False,1481,0.015607919646671145,0.0009634926636380515,-45.763071038553505,-44.63318910409364,0.999917359696413,0.9999486624465505,20260724
za70_bg0_b14.6_unity_beam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_14.6m,14.6,unity_beam,B=1 geometry-only diagnostic,smooth,300.0,550.0,90.0,70.0,100,1.0,0.45544554455445546,0.034896746971349056,-1.9493127720773125,115712233.5243689,3315845847.160797,100,45,False,False,True,1481,35.090077377452644,2.8402435748851396,-45.763071038553505,-44.63318910409364,0.999917359696413,0.9999486624465505,20260725
za78_bg0_b14.6_full_polybeam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_14.6m,14.6,full_polybeam,full-chromatic HERA H2C CST PolyBeam,smooth,300.0,550.0,90.0,78.0,100,0.6237623762376238,0.6831683168316832,4.710254287960152e-06,-0.3101160408682819,15618.477119804007,3315845847.160797,62,68,False,False,False,1481,0.006677186261643325,0.00027628226486181215,-47.6357680136893,-46.24260241253931,0.999896184696013,0.9999443724783861,20260726
za78_bg0_b14.6_unity_beam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_14.6m,14.6,unity_beam,B=1 geometry-only diagnostic,smooth,300.0,550.0,90.0,78.0,100,0.5346534653465347,0.801980198019802,0.012006510495777625,-0.02967413513937301,39811737.96631676,3315845847.160797,53,80,False,False,True,1481,12.966633968390123,1.020040588166467,-47.6357680136893,-46.24260241253931,0.999896184696013,0.9999443724783861,20260727
za5_bg0_b140.4_full_polybeam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_140.4m,140.4,full_polybeam,full-chromatic HERA H2C CST PolyBeam,smooth,300.0,550.0,90.0,5.0,100,0.2079207920792079,0.019801980198019802,0.006789728989623568,0.6472700905464033,8782664.004601628,1293522026.8767385,20,1,False,False,False,1323,114.42392702250382,2.5820256782007394,-123.2569040799201,-40.8659554224235,0.7932693352635812,0.9998224457567598,20260728
za5_bg0_b140.4_unity_beam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_140.4m,140.4,unity_beam,B=1 geometry-only diagnostic,smooth,300.0,550.0,90.0,5.0,100,0.45544554455445546,0.8316831683168316,0.03615632157376239,0.18474843360387116,46768998.36650027,1293522026.8767385,45,83,False,False,True,1323,297.43731680987224,18.82454452788729,-123.2569040799201,-40.8659554224235,0.7932693352635812,0.9998224457567598,20260729
za15_bg0_b140.4_full_polybeam,0,0_1_lst017,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,quiet,17,0_1,synthetic_EW_140.4m,140.4,full_polybeam,full-chromatic HERA H2C CST PolyBeam,smooth,300.0,550.0,90.0,15.0,100,0.15841584158415842,0.04950495049504951,0.0008204465913306954,0.9470908725485381,1061265.7377621923,1293522026.8767385,15,4,False,False,False,1323,9.962260315470036,0.20440217553780393,-163.6839304292379,-121.2259629556183,0.9480831471587371,0.9996271650868164,20260730
