beam_model,baseline_length_m,za_peak_deg,n_background,median_pte_global_max,median_pte_global_absint,median_relative_abs_bias,n_local_physical_1e3,n_absint_physical_1e3,max_minus_log10_pte_absint
full_polybeam,14.6,5.0,5,0.6435643564356436,0.6732673267326733,0.5343614268592557,0,0,1.0500788643433177
full_polybeam,14.6,15.0,5,0.297029702970297,0.38613861386138615,0.029989772048101295,0,0,1.7032913781186614
full_polybeam,14.6,30.0,5,0.43564356435643564,0.6435643564356436,0.003698098489154743,0,0,1.1012313867906989
full_polybeam,14.6,45.0,5,0.5445544554455446,0.5742574257425742,0.002153064266653768,0,0,1.1592233337683857
full_polybeam,14.6,60.0,5,0.4158415841584158,0.8415841584158416,0.0003662922003622115,0,0,0.15922333376838577
full_polybeam,14.6,70.0,5,0.504950495049505,0.8415841584158416,7.75861378336251e-05,0,0,1.5272001190629803
full_polybeam,14.6,78.0,5,0.6237623762376238,0.32673267326732675,3.290102442375489e-05,0,0,1.1592233337683857
full_polybeam,140.4,5.0,5,0.2079207920792079,0.2079207920792079,0.2702200571301378,0,0,1.7032913781186614
full_polybeam,140.4,15.0,5,0.5742574257425742,0.5544554455445545,0.019368000409504878,0,0,1.3053513694466237
full_polybeam,140.4,30.0,5,0.32673267326732675,0.5742574257425742,0.0027630933206530756,0,0,1.1592233337683857
full_polybeam,140.4,45.0,5,0.6039603960396039,0.504950495049505,0.0019591919463062147,0,0,0.5419233758836866
full_polybeam,140.4,60.0,5,0.6336633663366337,0.5247524752475248,0.0004598763622278912,0,0,1.0500788643433177
full_polybeam,140.4,70.0,5,0.7128712871287128,0.5544554455445545,9.960429254812088e-05,0,0,0.37085291820305605
full_polybeam,140.4,78.0,5,0.5643564356435643,0.7821782178217822,3.694159179274027e-05,0,0,2.0043213737826426
full_polybeam,207.3,5.0,5,0.46534653465346537,0.6534653465346535,0.27770949001132383,0,0,0.47284245674038744
full_polybeam,207.3,15.0,5,0.594059405940594,0.6534653465346535,0.023352408552271484,0,0,0.9251401277350177
full_polybeam,207.3,30.0,5,0.2871287128712871,0.36633663366336633,0.0029858146136017383,0,0,0.7032913781186614
full_polybeam,207.3,45.0,5,0.44554455445544555,0.42574257425742573,0.0026248189093260963,0,0,0.5893480258118245
full_polybeam,207.3,60.0,5,0.7623762376237624,0.36633663366336633,0.0004690557125178136,0,0,1.1012313867906989
full_polybeam,207.3,70.0,5,0.7326732673267327,0.1782178217821782,0.00010782831720330727,0,0,1.1012313867906989
full_polybeam,207.3,78.0,5,0.6039603960396039,0.7623762376237624,3.7934156297223116e-05,0,0,1.1592233337683857
unity_beam,14.6,5.0,5,0.5841584158415841,0.5247524752475248,18.637666571469083,0,0,0.8581933381044045
unity_beam,14.6,15.0,5,0.6435643564356436,0.8217821782178217,16.715803542640014,0,0,0.2967511976847062
unity_beam,14.6,30.0,5,0.3465346534653465,0.25742574257425743,11.013079345835466,1,0,1.5272001190629803
unity_beam,14.6,45.0,5,0.7425742574257426,0.46534653465346537,4.69442117677302,0,0,1.1012313867906989
unity_beam,14.6,60.0,5,0.5148514851485149,0.5445544554455446,1.2151691285407664,0,0,0.8903780214758058
unity_beam,14.6,70.0,5,0.5841584158415841,0.801980198019802,0.3352180647929198,0,0,0.4022613824546802
unity_beam,14.6,78.0,5,0.5544554455445545,0.4158415841584158,0.099021241787672,0,0,0.6063813651106049
unity_beam,140.4,5.0,5,0.45544554455445546,0.8316831683168316,6.214004038522885,0,0,0.21192968428438871
unity_beam,140.4,15.0,5,0.42574257425742573,0.9207920792079208,5.7838707120060135,0,0,0.2639586842883987
unity_beam,140.4,30.0,5,0.6237623762376238,0.8712871287128713,14.569417987279628,0,0,0.2639586842883987
unity_beam,140.4,45.0,5,0.40594059405940597,0.6633663366336634,8.905146953902038,0,0,1.4022613824546801
unity_beam,140.4,60.0,5,0.5544554455445545,0.7425742574257426,2.639661450564923,0,0,0.5893480258118245
unity_beam,140.4,70.0,5,0.8316831683168316,0.7722772277227723,0.5868360979278658,0,0,0.48580743390475506
unity_beam,140.4,78.0,5,0.6039603960396039,0.5841584158415841,0.10543376593513736,1,0,0.9251401277350177
unity_beam,207.3,5.0,5,0.45544554455445546,0.504950495049505,2.596770315209358,0,0,0.8002013911267178
unity_beam,207.3,15.0,5,0.13861386138613863,0.15841584158415842,3.483505393242673,0,0,0.8581933381044045
unity_beam,207.3,30.0,5,0.38613861386138615,0.9207920792079208,11.694751669800466,0,0,0.7738724524043686
unity_beam,207.3,45.0,5,0.3069306930693069,0.26732673267326734,9.03227074113314,0,0,1.4022613824546801
unity_beam,207.3,60.0,5,0.5841584158415841,0.24752475247524752,2.855119926778193,0,0,1.3053513694466237
unity_beam,207.3,70.0,5,0.49504950495049505,0.2376237623762376,0.7370136430050592,0,0,1.226170123398999
unity_beam,207.3,78.0,5,0.5445544554455446,0.37623762376237624,0.13584623972016444,0,0,0.6063813651106049
